time,open,high,low,close,VWAP,Volume,Volume MA,Relative Volume,EMA 10,Plot EMA 20,Plot EMA50,Plot EMA 100,Plot EMA 200,Supertrend Up,Supertrend Down ,RSI,RSI-based MA,GapUp/GapDown,Gap Percentage,Candle Body,Candle Range,Body Percentage,Body Character,Upperwick %,Upper Wick Character,LowerWick %,Lower Wick Character,VIX,VIX % Change,Expected Range,UDR,LDR,"Today's Close In Range(IN=1,OUT=0)",,,,,,
22-09-2023,19744.85,19798.65,19657.5,19674.25,19710.13333,246410075,324059106.8,0.76,19858.30585,19769.80435,19544.05112,19173.36323,18649.18117,,20045.79112,48.24339996,64.27080742,2.5,0.01,-70.6,141.15,50.02,MODERATE,38.12,MODERATE,11.87,MILD,10.66,-1.455974116,132.9890416,19877.83904,19611.86096,INSIDE,,,,,,
25-09-2023,19678.199,19734.15,19601.551,19674.551,19670.084,188398392,310153115.8,0.61,19824.89588,19760.73261,19549.16876,19183.28774,18659.38386,,19975.063,48.25677382,63.74232486,3.949,0.02,-3.648,132.599,2.75,INDECISION,42.2,STRONG REJECT,55.05,STRONG DEFEND,10.9,2.251407129,135.5401607,19813.73916,19542.65884,INSIDE,,,,,,
26-09-2023,19682.801,19699.35,19637.449,19664.699,19667.166,204869058,307987630.2,0.67,19795.76917,19751.58655,19553.69936,19192.82064,18669.38699,,19938.9299,47.8212074,63.04457798,8.25,0.04,-18.102,61.901,29.24,WEAK,26.73,MODERATE,44.02,STRONG DEFEND,11.185,2.614678899,138.8388341,19821.63983,19543.96217,INSIDE,,,,,,
27-09-2023,19637.051,19730.699,19554,19716.449,19667.04933,203559874,302796218.1,0.67,19781.34732,19748.24011,19560.08169,19203.18952,18679.80552,,19929.45342,50.35595047,62.42026377,-27.648,-0.14,79.398,176.699,44.93,MODERATE,8.06,NONE,47,STRONG DEFEND,11.585,3.576218149,144.0328594,19781.08386,19493.01814,INSIDE,,,,,,
28-09-2023,19761.801,19766.65,19492.1,19523.551,19594.10033,352810261,308786502.8,1.14,19734.47527,19726.84115,19558.64912,19209.53331,18688.201,,19929.45342,42.13875414,60.8895454,45.352,0.23,-238.25,274.55,86.78,STRONG,1.77,NONE,11.46,MILD,12.8225,10.68191627,159.7088025,19921.5098,19602.0922,OUT,,,Texture of market,,,PCR
29-09-2023,19581.199,19726.25,19551.051,19638.301,19638.534,243508919,292834088,0.83,19716.98904,19718.40876,19561.77272,19218.02376,18697.65473,,19929.45342,47.61507453,59.52574607,57.648,0.3,57.102,175.199,32.59,WEAK,50.2,STRONG REJECT,17.21,MILD,11.4525,-10.68434393,142.3534204,19723.55242,19438.84558,INSIDE,,,,,,
03-10-2023,19622.4,19623.199,19479.65,19528.75,19543.86633,221719625,285294959.7,0.78,19682.76376,19700.34602,19560.47771,19224.17675,18705.92434,,19897.03059,43.39261739,57.50407272,-15.901,-0.08,-93.65,143.549,65.24,STRONG,0.56,NONE,34.2,MODERATE,11.7875,2.925125518,145.7520216,19768.15202,19476.64798,INSIDE,,,,,,
04-10-2023,19446.301,19457.801,19333.6,19436.1,19409.167,277148310,279348819.1,0.99,19637.9158,19675.17973,19555.60016,19228.37325,18713.18976,,19750.24537,40.14983153,55.26548883,-82.449,-0.42,-10.201,124.201,8.21,INDECISION,9.26,NONE,82.53,STRONG DEFEND,11.655,-1.12407211,142.8989733,19589.19997,19303.40203,INSIDE,,,,,,
05-10-2023,19521.85,19576.949,19487.301,19545.75,19536.66667,234865323,275894154.1,0.85,19621.15838,19662.85309,19555.21387,19234.65794,18721.47395,,19750.24537,45.3546275,53.25583858,85.75,0.44,23.9,89.648,26.66,WEAK,34.8,MODERATE,38.54,MODERATE,10.94,-6.134706135,134.9538891,19656.80389,19386.89611,INSIDE,,,,,,
06-10-2023,19621.199,19675.75,19589.4,19653.5,19639.55,159051277,269468671.7,0.59,19627.03868,19661.96232,19559.06823,19242.95184,18730.74784,,19750.24537,49.95984654,51.51543015,75.449,0.39,32.301,86.35,37.41,WEAK,25.77,MODERATE,36.83,MODERATE,10.3,-5.850091408,127.7002048,19748.8992,19493.4988,INSIDE,,,,,,
09-10-2023,19539.449,19588.949,19480.5,19512.35,19527.26633,165094800,262476920.6,0.63,19606.18619,19647.71353,19557.23615,19248.28646,18738.52497,,19750.24537,44.65125995,49.24202191,-114.051,-0.58,-27.099,108.449,24.99,WEAK,45.64,STRONG REJECT,29.37,MODERATE,11.4,10.67961165,140.7145675,19680.16357,19398.73443,INSIDE,,,,,,
10-10-2023,19565.6,19717.801,19565.449,19689.85,19657.7,216559447,258900208.3,0.84,19621.39779,19651.72652,19562.43669,19257.03029,18747.99089,,19750.24537,51.61399311,47.77400176,53.25,0.27,124.25,152.352,81.55,STRONG,18.35,MILD,0.1,NONE,11.27,-1.140350877,140.0249636,19705.62496,19425.57504,INSIDE,,,,,,
11-10-2023,19767,19839.199,19756.949,19811.35,19802.49933,213729730,256927490.7,0.83,19655.93456,19666.92876,19572.19799,19268.00692,18758.57158,19462.42412,,55.72019515,47.59192557,77.15,0.39,44.35,82.25,53.92,MODERATE,33.86,MODERATE,12.22,MILD,10.985,-2.528837622,137.3242602,19904.32426,19629.67574,INSIDE,,,,,,
12-10-2023,19822.699,19843.301,19772.65,19794,19803.317,217904144,251419486,0.87,19681.03736,19679.03078,19580.89611,19278.42263,18768.87435,19511.19519,,55.00238444,47.87685114,11.349,0.06,-28.699,70.651,40.62,MODERATE,29.16,MODERATE,30.22,MODERATE,10.6175,-3.345471097,132.7575604,19955.45656,19689.94144,INSIDE,,,,,,
13-10-2023,19654.551,19805.4,19635.301,19751.051,19730.584,254955979,251597555,1.01,19693.76712,19685.88985,19587.56885,19287.7816,18778.64725,19511.19519,,53.17616656,48.22919161,-139.449,-0.7,96.5,170.099,56.73,MODERATE,31.95,MODERATE,11.32,MILD,10.6175,0,132.5039915,19787.05499,19522.04701,INSIDE,,,,,,
16-10-2023,19737.25,19781.301,19691.85,19731.75,19734.967,180964341,246890178,0.73,19700.6731,19690.25748,19593.22302,19296.57306,18788.13086,19511.19519,,52.33520443,48.52050808,-13.801,-0.07,-5.5,89.451,6.15,INDECISION,49.25,STRONG REJECT,44.61,STRONG DEFEND,11.07,4.261831881,137.9829881,19875.23299,19599.26701,INSIDE,,,,,,
17-10-2023,19843.199,19849.75,19775.65,19811.5,19812.3,185846716,234273258.6,0.79,19720.82344,19701.80439,19601.7829,19306.76963,18798.31364,19541.37882,,55.46891075,49.06677261,111.449,0.56,-31.699,74.1,42.78,MODERATE,8.84,NONE,48.38,STRONG DEFEND,10.695,-3.387533875,133.7700543,19976.96905,19709.42895,INSIDE,,,,,,
18-10-2023,19820.449,19840.949,19659.949,19671.1,19723.99933,198942937,230976867.5,0.86,19711.78282,19698.88016,19604.50122,19313.98409,18806.99808,19541.37882,,49.3211765,48.99286018,8.949,0.05,-149.349,181,82.51,STRONG,11.33,MILD,6.16,NONE,10.965,2.52454418,137.08633,19957.53533,19683.36267,OUT,,,Support/Resistance,,,BETWEEN 10/20 - SIDE WAYS
19-10-2023,19545.199,19681.801,19512.35,19624.699,19606.28333,230312163,223589181.6,1.03,19695.94939,19691.81529,19605.29329,19320.13686,18815.13441,19541.37882,,47.44945349,49.37219585,-125.901,-0.64,79.5,169.451,46.92,MODERATE,33.7,MODERATE,19.39,MILD,10.8975,-0.615595075,135.1496071,19680.34861,19410.04939,INSIDE,,,,,,
20-10-2023,19542.15,19593.801,19518.699,19542.65,19551.71667,198341255,219749631.3,0.9,19668.07678,19677.60907,19602.83669,19324.54306,18822.37337,19541.37882,,44.25153681,49.13194315,-82.549,-0.42,0.5,75.102,0.67,INDECISION,68.11,STRONG REJECT,31.23,MODERATE,10.8175,-0.734113329,133.5576196,19675.70762,19408.59238,INSIDE,,,,,,
23-10-2023,19521.6,19556.85,19257.85,19281.75,19365.48333,176044288,216231342,0.81,19597.83555,19639.90821,19590.24505,19323.69568,18826.94428,,19752.45141,35.95369844,48.6005918,-21.05,-0.11,-239.85,299,80.22,STRONG,11.79,MILD,7.99,NONE,10.905,0.808874509,134.384026,19655.98403,19387.21597,OUT,,,Closet OI BASED/RESISTANCE,,,
25-10-2023,19286.449,19347.301,19074.15,19122.15,19181.20033,225291741,218076009.4,1.03,19511.34726,19590.5979,19571.88838,19319.70467,18829.88165,,19596.06703,32.00059517,48.01850349,4.699,0.02,-164.299,273.151,60.15,STRONG,22.28,MODERATE,17.57,MILD,11.3125,3.736817973,137.9119991,19424.361,19148.537,OUT,,,Last day low/high,,,
26-10-2023,19027.25,19041.699,18837.85,18857.25,18912.26633,300356469,222850380,1.35,19392.42049,19520.75525,19543.86335,19310.54715,18830.15397,,19361.76772,26.74450398,46.68920895,-94.9,-0.5,-170,203.849,83.4,STRONG,7.09,NONE,9.52,NONE,11.73,3.690607735,140.7429926,19167.99299,18886.50701,OUT,,,,,,
27-10-2023,18928.75,19076.15,18926.65,19047.25,19016.68333,205201044,222932438.5,0.92,19329.66222,19475.65951,19524.38831,19305.33335,18832.31413,,19361.76772,34.99209862,45.6200841,71.5,0.38,118.5,149.5,79.26,STRONG,19.33,MILD,1.4,NONE,10.905,-7.033248082,131.0809173,19059.83092,18797.66908,INSIDE,,,,,,
30-10-2023,19053.4,19158.5,18940,19140.9,19079.8,180132492,214298550,0.84,19295.34181,19443.77765,19509.34956,19302.07724,18835.38464,,19361.76772,38.65802479,45.19199587,6.15,0.03,87.5,218.5,40.05,MODERATE,8.05,NONE,51.9,STRONG DEFEND,11.49,5.364511692,138.7089887,19192.10899,18914.69101,INSIDE,,,,,,
31-10-2023,19232.949,19233.699,19056.449,19079.6,19123.24933,206049341,212425571.1,0.97,19256.11603,19409.09406,19492.49663,19297.67175,18837.81464,,19361.76772,37.18005691,44.16100043,92.049,0.48,-153.349,177.25,86.52,STRONG,0.42,NONE,13.06,MILD,11.825,2.915578764,143.3134787,19376.26248,19089.63552,OUT,,,24100,24080,24090,
01-11-2023,19064.051,19096.051,18973.699,18989.15,19019.63333,194103279,211044753.8,0.92,19207.57675,19369.09939,19472.75755,19291.56241,18839.32047,,19361.76772,35.05067066,42.68460583,-15.549,-0.08,-74.901,122.352,61.22,STRONG,26.15,MODERATE,12.63,MILD,12.0475,1.881606765,144.9651383,19209.01614,18919.08586,INSIDE,,,,,,
02-11-2023,19120,19175.25,19064.15,19133.25,19124.21667,245595109,209467093.8,1.17,19194.0628,19346.63754,19459.44353,19288.42751,18842.24514,,19361.76772,40.86170313,41.67455716,130.85,0.69,13.25,111.1,11.93,INDECISION,37.8,MODERATE,50.27,STRONG DEFEND,11.075,-8.072214152,133.8159381,19253.81594,18986.18406,INSIDE,,,,,,
03-11-2023,19241,19276.25,19210.9,19230.6,19239.25,189516123,207199633.8,0.91,19200.70592,19335.58635,19450.46927,19287.28241,18846.10937,,19361.76772,44.47593917,41.05311235,107.75,0.56,-10.4,65.35,15.91,INDECISION,53.94,STRONG REJECT,30.15,MODERATE,10.8825,-1.738148984,132.1826028,19373.1826,19108.8174,INSIDE,,,,,,
06-11-2023,19345.85,19423,19309.699,19411.75,19381.483,180690631,208281601.5,0.87,19239.07757,19342.84003,19448.95087,19289.74712,18851.73763,19001.79862,,50.53409851,40.92446192,115.25,0.6,65.9,113.301,58.16,MODERATE,9.93,NONE,31.91,MODERATE,11.105,2.044566965,135.9120447,19481.76204,19209.93796,INSIDE,,,,,,
07-11-2023,19404.051,19423.5,19329.1,19406.699,19386.433,198660124,209959867.7,0.95,19269.5542,19348.92184,19447.29393,19292.063,18857.25964,19046.89929,,50.3690745,40.56018791,-7.699,-0.04,2.648,94.4,2.81,INDECISION,17.8,MILD,79.4,STRONG DEFEND,11.1925,0.787933363,136.9864674,19541.03747,19267.06453,INSIDE,,,,,,
08-11-2023,19449.6,19464.4,19401.5,19443.5,19436.46667,194967997,208880295.2,0.93,19301.18071,19357.92928,19447.14515,19295.06175,18863.09287,19144.26943,,51.60899602,40.72360359,42.901,0.22,-6.1,62.9,9.7,INDECISION,23.53,MODERATE,66.77,STRONG DEFEND,11.0375,-1.38485593,135.3738595,19584.97386,19314.22614,INSIDE,,,,,,
09-11-2023,19457.4,19463.9,19378.35,19395.301,19412.517,208418472,208614732.3,1,19318.29349,19361.48849,19445.11205,19297.04669,18868.38848,19155.96055,,49.8523254,40.89523729,13.9,0.07,-62.099,85.55,72.59,STRONG,7.6,NONE,19.81,MILD,10.9825,-0.498301246,134.6958297,19592.09583,19322.70417,INSIDE,,,,,,
10-11-2023,19351.85,19451.301,19329.449,19425.35,19402.03333,152215785,205330314.3,0.74,19337.75831,19367.57054,19444.33707,19299.58735,18873.93038,19155.96055,,50.97274119,41.37532332,-43.451,-0.22,73.5,121.852,60.32,STRONG,21.3,MODERATE,18.38,MILD,11.1075,1.138174368,136.140722,19487.99072,19215.70928,INSIDE,,,,,,
12-11-2023,19547.25,19547.25,19510.25,19525.55,19527.68333,37311902,194448110.5,0.19,19371.90225,19382.6162,19447.52189,19304.06185,18880.41416,19271.29211,,54.61416425,42.70821374,121.9,0.63,-21.7,37,58.65,MODERATE,0,NONE,41.35,STRONG DEFEND,11.1875,0.720234076,137.797643,19685.04764,19409.45236,INSIDE,,,,,,
13-11-2023,19486.75,19494.4,19414.75,19443.551,19450.90033,189275733,194863680.1,0.97,19384.9293,19388.41952,19447.36617,19306.82401,18886.01751,19271.29211,,51.25888842,44.08380611,-38.8,-0.2,-43.199,79.65,54.24,MODERATE,9.6,NONE,36.16,MODERATE,11.135,-0.469273743,136.780179,19623.53018,19349.96982,INSIDE,,,,,,
15-11-2023,19651.4,19693.199,19579.65,19675.449,19649.43267,291464988,200144593.7,1.46,19437.75106,19415.75566,19456.31059,19314.12352,18893.87255,19336.33625,,58.941355,46.38358118,207.849,1.07,24.049,113.549,21.18,WEAK,15.63,MILD,63.19,STRONG DEFEND,11.6475,4.602604401,144.5346789,19795.93468,19506.86532,INSIDE,,,,,,
16-11-2023,19674.699,19875.25,19627,19765.199,19755.81633,282686669,204331780.3,1.38,19497.28705,19449.03598,19468.42386,19323.05571,18902.54247,19411.7544,,61.47239714,48.27503108,-0.75,0,90.5,248.25,36.46,WEAK,44.33,STRONG REJECT,19.21,MILD,11.8275,1.545396008,148.125091,19822.82409,19526.57391,INSIDE,,,,,,
17-11-2023,19674.75,19806,19667.449,19731.801,19735.08333,236827462,204657545.2,1.16,19539.92595,19475.96598,19478.75238,19331.14967,18910.79379,19411.7544,,59.99040053,49.7987722,-90.449,-0.46,57.051,138.551,41.18,MODERATE,53.55,STRONG REJECT,5.27,NONE,12.1475,2.705559078,151.6026371,19826.35264,19523.14736,INSIDE,,,,,,
20-11-2023,19731.15,19756.449,19670.5,19694,19706.983,173780543,203429509.6,0.85,19567.93941,19496.73112,19487.19346,19338.33483,18918.58689,19417.5614,,58.2778703,51.30575887,-0.651,0,-37.15,85.949,43.22,MODERATE,29.43,MODERATE,27.34,MODERATE,12.2325,0.699732455,152.2815138,19883.43151,19578.86849,INSIDE,,,,,,
21-11-2023,19770.9,19829.1,19754.051,19783.4,19788.85033,194969012,204375745.8,0.95,19607.11407,19524.03292,19498.8094,19347.148,18927.192,19500.80502,,61.10574921,53.16683591,76.9,0.39,12.5,75.049,16.66,INDECISION,60.89,STRONG REJECT,22.45,MODERATE,11.865,-3.004291845,148.2496985,19919.1497,19622.6503,INSIDE,,,,,,
22-11-2023,19784,19825.551,19703.85,19811.85,19780.417,184497984,202336058,0.91,19644.33878,19551.44407,19511.0855,19356.35002,18935.99456,19500.80502,,61.98869999,54.67590712,0.6,0,27.85,121.701,22.88,WEAK,11.26,MILD,65.86,STRONG DEFEND,11.315,-4.635482512,141.352306,19925.35231,19642.64769,INSIDE,,,,,,
23-11-2023,19828.449,19875.15,19786.75,19802,19821.3,170024085,195819438.8,0.87,19673.00446,19575.30654,19522.49392,19365.17477,18944.61153,19570.55257,,61.46841447,55.88965535,16.599,0.08,-26.449,88.4,29.92,WEAK,52.83,STRONG REJECT,17.25,MILD,11.33,0.132567388,141.893793,19970.34279,19686.55521,INSIDE,,,,,,
24-11-2023,19809.6,19832.85,19768.85,19794.699,19798.79967,145895044,192854138.8,0.76,19695.13074,19596.20106,19533.16863,19373.6802,18953.07012,19570.55257,,61.05933088,56.64145766,7.6,0.04,-14.901,64,23.28,WEAK,36.33,MODERATE,40.39,STRONG DEFEND,12.175,7.458075905,152.1518266,19961.75183,19657.44817,INSIDE,,,,,,
28-11-2023,19844.65,19916.85,19800,19889.699,19868.84967,229595031,195327265.7,1.18,19730.50679,19624.15325,19547.15021,19383.8984,18962.38981,19622.43025,,64.38107933,57.64231515,49.951,0.25,45.049,116.85,38.55,WEAK,23.24,MODERATE,38.21,MODERATE,12.7075,4.373716632,159.479125,20004.12913,19685.17088,INSIDE,,,,,,
29-11-2023,19976.551,20104.65,19956.301,20096.6,20052.517,236241768,196836887.1,1.2,19797.06919,19669.14817,19568.69726,19398.0113,18973.67548,19755.6993,,70.31935475,58.97876935,86.852,0.44,120.049,148.349,80.92,STRONG,5.43,NONE,13.65,MILD,12.69,-0.137713948,160.76119,20137.31219,19815.78981,INSIDE,,,,,,
30-11-2023,20108.5,20158.699,20015.85,20133.15,20102.56633,486585349,211460990.6,2.3,19858.17479,19713.33882,19590.83266,19412.5685,18985.21254,19810.31394,,71.23178968,60.50587394,11.9,0.06,24.65,142.849,17.26,INDECISION,17.89,MILD,64.86,STRONG DEFEND,12.3825,-2.423167849,157.2873915,20265.78739,19951.21261,INSIDE,,,,,,
01-12-2023,20194.1,20291.551,20183.699,20267.9,20247.71667,265812566,212471863.4,1.25,19932.67028,19766.15417,19617.38432,19429.50576,18997.9756,19952.69615,,74.36113464,62.17647347,60.95,0.3,73.8,107.852,68.43,STRONG,21.93,MODERATE,9.64,NONE,12.9925,4.926307289,166.1234886,20360.22349,20027.97651,INSIDE,,,,,,
04-12-2023,20601.949,20702.65,20507.75,20686.801,20632.40033,381107418,222051428.2,1.72,20069.78496,19853.83482,19659.32223,19454.40269,19014.77983,20203.35692,,81.20556347,64.07585913,334.049,1.65,84.852,194.9,43.54,MODERATE,8.13,NONE,48.33,STRONG DEFEND,13.4575,3.578987878,175.5550803,20777.50408,20426.39392,INSIDE,,,,,,
05-12-2023,20808.9,20864.051,20711.15,20855.1,20810.10033,421008350,234067314.1,1.8,20212.56951,19949.19341,19706.21548,19482.13927,19033.09147,20395.22604,,83.15160365,66.35391022,122.099,0.59,46.2,152.901,30.22,WEAK,5.85,NONE,63.93,STRONG DEFEND,13.74,2.099201189,180.6377194,20989.53772,20628.26228,INSIDE,,,,,,
06-12-2023,20950.75,20961.949,20852.15,20937.699,20917.266,359212958,242094955.8,1.48,20344.41124,20043.3368,19754.50895,19510.96224,19052.04279,20549.23033,,84.02582015,68.14565773,95.65,0.46,-13.051,109.799,11.89,INDECISION,10.2,MILD,77.91,STRONG DEFEND,12.6725,-7.769286754,167.3851914,21118.13519,20783.36481,INSIDE,,,,,,
07-12-2023,20932.4,20941.25,20850.801,20901.15,20897.73367,274985308,246095821.4,1.12,20445.63647,20125.0333,19799.47526,19538.49071,19070.44187,20573.59056,,81.9983661,69.61179837,-5.299,-0.03,-31.25,90.449,34.55,WEAK,9.78,NONE,55.67,STRONG DEFEND,12.47,-1.597948313,164.5478182,21096.94782,20767.85218,INSIDE,,,,,,
08-12-2023,20934.1,21006.1,20862.699,20969.4,20946.06633,292440768,250296936.2,1.17,20540.8662,20205.44917,19845.35466,19566.82555,19089.33698,20619.09115,,82.83144081,71.24330124,32.95,0.16,35.3,143.401,24.62,WEAK,25.59,MODERATE,49.79,STRONG DEFEND,12.7575,2.30553328,168.862836,21102.96284,20765.23716,INSIDE,,,,,,
11-12-2023,20965.301,21026.1,20923.699,20997.1,20982.29967,212921451,253332219.5,0.84,20623.8178,20280.84449,19890.52115,19595.14781,19108.31969,20681.69242,,83.17182612,73.02144095,-4.099,-0.02,31.799,102.401,31.05,WEAK,28.32,MODERATE,40.63,STRONG DEFEND,12.7125,-0.352733686,168.4274078,21133.72841,20796.87359,INSIDE,,,,,,
12-12-2023,21018.551,21037.9,20867.15,20906.4,20937.15,244867128,263709980.8,0.93,20675.19638,20340.42121,19930.35953,19621.1132,19126.21104,20681.69242,,77.73710191,74.20939471,21.451,0.1,-112.151,170.75,65.68,STRONG,11.33,MILD,22.99,MODERATE,12.065,-5.093411996,159.9384143,21178.48941,20858.61259,INSIDE,,,,,,
13-12-2023,20929.75,20950,20769.5,20926.35,20881.95,260269318,267259660,0.97,20720.86068,20396.22395,19969.41798,19646.95948,19144.12287,20681.69242,,78.07644003,75.358519,23.35,0.11,-3.4,180.5,1.88,INDECISION,11.22,MILD,86.9,STRONG DEFEND,12.32,2.113551596,162.6364209,21092.38642,20767.11358,INSIDE,,,,,,
14-12-2023,21110.4,21210.9,21074.449,21182.699,21156.016,334410589,269406940.1,1.24,20804.83128,20471.12633,20016.99763,19677.37016,19164.40721,20777.26048,,81.89516899,76.81757289,184.05,0.88,72.299,136.451,52.99,MODERATE,20.67,MODERATE,26.35,MODERATE,13.1275,6.554383117,175.4543729,21285.85437,20934.94563,INSIDE,,,,,,
15-12-2023,21287.449,21492.301,21235.301,21456.65,21394.75067,508761756,280710694.4,1.81,20923.34377,20564.98573,20073.45459,19712.60342,19187.2156,20947.62898,,84.91845676,78.52179617,104.75,0.49,169.201,257,65.84,STRONG,13.87,MILD,20.29,MODERATE,13.9,5.884593411,188.2438462,21475.69285,21099.20515,INSIDE,,,,,,
18-12-2023,21434.801,21482.801,21365.35,21418.65,21422.267,249668965,281352769.6,0.89,21013.39945,20646.28709,20126.20735,19746.38652,19209.41892,21044.15748,,82.85173501,79.84112872,-21.849,-0.1,-16.151,117.451,13.75,INDECISION,40.87,STRONG REJECT,45.38,STRONG DEFEND,13.8675,-0.23381295,187.7206949,21622.52169,21247.08031,INSIDE,,,,,,
19-12-2023,21477.65,21505.051,21337.75,21453.1,21431.967,249750062,285151245.5,0.88,21093.34501,20723.12641,20178.24235,19780.18283,19231.74411,21050.54569,,83.24974293,80.76472788,59,0.28,-24.55,167.301,14.67,INDECISION,16.38,MILD,68.95,STRONG DEFEND,14.45,4.200468722,195.8084354,21673.45844,21281.84156,INSIDE,,,,,,
20-12-2023,21543.5,21593,21087.35,21150.15,21276.83333,363886229,293597106.4,1.24,21103.67319,20763.79533,20216.35638,19807.31089,19250.83272,21050.54569,,68.24839237,80.55162807,90.4,0.42,-393.35,505.65,77.79,STRONG,9.79,NONE,12.42,MILD,13.7575,-4.792387543,187.1869549,21730.68695,21356.31305,OUT,,24000,,,,
21-12-2023,21033.949,21288.35,20976.801,21255.051,21173.40067,277548079,298249611.1,0.93,21131.19643,20810.58158,20257.0895,19835.97901,19270.77519,21050.54569,,70.24762121,80.25780568,-116.201,-0.55,221.102,311.549,70.97,STRONG,10.69,MILD,18.34,MILD,13.7075,-0.363438125,183.8752726,21217.82427,20850.07373,OUT,,,23900,23930,23920,
22-12-2023,21295.85,21390.5,21232.449,21349.4,21324.11633,284708918,303983852.8,0.94,21170.8698,20861.89762,20299.92521,19865.94775,19291.45803,21050.54569,,71.95783605,79.59725372,40.799,0.19,53.55,158.051,33.88,WEAK,26,MODERATE,40.11,STRONG DEFEND,14.6775,7.076418019,197.8317982,21493.6818,21098.0182,INSIDE,,,,,,
26-12-2023,21365.199,21477.15,21329.449,21441.35,21415.983,219467748,307662488,0.71,21220.04802,20917.08356,20344.68696,19897.14383,19312.84999,21050.54569,,73.5533436,78.91166372,15.799,0.07,76.151,147.701,51.56,MODERATE,24.24,MODERATE,24.2,MODERATE,15.5575,5.995571453,210.5423826,21575.74138,21154.65662,INSIDE,,,,,,
