CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
-239.2,-3,-10.529559360831096,-100,0,2032.5,0,5590,4355,21100,4,23200.05,-0.4,-49003,-80,-61.33425120470618,56.11,0.1,30892,7762495,2631525,141915,5693703,92842439,4589392,93581150
-1027.1,1,-34.187095378368035,0,0,1977.25,1,4550,5070,21150,2,23200.05,-0.35,-156,-70,-7.330827067669173,56.58,0.15,1972,1304810,191490,4211,5693703,92842439,4589392,93581150
-972.45,1,-32.90862944162436,0,0,1982.55,1,4940,4615,21200,2,23200.05,-0.35,-4846,-70,-39.105874757908325,53.53,0.15,7546,3275285,489125,24527,5693703,92842439,4589392,93581150
-831.85,0,-28.62772089821905,0,149.1,2073.9,0,4745,5070,21250,2,23200.05,-0.35,540,-70,41.89294026377036,53.93,0.15,1829,1556555,124475,2689,5693703,92842439,4589392,93581150
0,0,0,0,163.68,0,1,4745,5070,21300,0,23200.05,-0.35,-3709,-70,-55.9680096574619,52.6,0.15,2918,1284075,323115,12780,5693703,92842439,4589392,93581150
0,0,0,0,43.89,0,1,4615,5070,21350,0,23200.05,-0.45,163,-81.81818181818181,17.833698030634572,51.28,0.1,1077,789295,99450,2044,5693703,92842439,4589392,93581150
0,0,0,0,103.63,0,1,4615,5070,21400,0,23200.05,-0.4,-1561,-72.72727272727273,-29.784392291547416,49.95,0.15,3680,1772485,450060,15806,5693703,92842439,4589392,93581150
0,0,0,0,0,0,0,4940,4940,21450,0,23200.05,-0.4,219,-72.72727272727273,18.481012658227847,48.63,0.15,1404,1067495,160615,5365,5693703,92842439,4589392,93581150
68.05,-8,4.16475412344319,-22.22222222222222,0,1702,28,5395,5265,21500,12,23200.05,-0.45,-19235,-81.81818181818181,-35.642812140977654,45.8,0.1,34731,20876505,3150550,122106,5693703,92842439,4589392,93581150
0,0,0,0,112.26,0,1,4745,4745,21550,0,23200.05,-0.45,585,-81.81818181818181,26.046304541406947,44.52,0.1,2831,1064375,189020,10927,5693703,92842439,4589392,93581150
0,0,0,0,0,0,0,4940,5070,21600,0,23200.05,-0.5,-1841,-83.33333333333333,-27.41215008933889,43.23,0.1,4875,2353520,459875,14471,5693703,92842439,4589392,93581150
