CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
0,0,0,0,129.07,0,3,4810,5135,21100,0,23242.2,-0.3,-22874,-60,-28.63007697603104,59.97,0.2,57021,11168495,5298735,78894,3673211,5359284,2787251,4951610
0,0,0,0,0,0,0,5135,5135,21150,0,23242.2,-0.25,119,-50,5.592105263157895,60.68,0.25,2247,2723240,125515,1079,3673211,5359284,2787251,4951610
0,0,0,0,0,0,0,5005,5005,21200,0,23242.2,-0.25,-1972,-50,-15.91349257585539,57.27,0.25,10420,5338320,986635,5883,3673211,5359284,2787251,4951610
0,0,0,0,0,0,0,5135,5005,21250,0,23242.2,-0.25,67,-50,5.197827773467805,57.9,0.25,1356,1612650,55770,238,3673211,5359284,2787251,4951610
0,0,0,0,163.68,0,1,5590,5005,21300,0,23242.2,-0.2,-2217,-40,-33.45405160706202,56.5,0.3,4410,3665870,68380,5947,3673211,5359284,2787251,4951610
0,0,0,0,43.89,0,1,5395,4290,21350,0,23242.2,-0.25,148,-45.45454545454545,16.192560175054705,55.11,0.3,1062,1719575,48490,425,3673211,5359284,2787251,4951610
0,0,0,0,103.63,0,1,5590,5005,21400,0,23242.2,-0.3,-704,-54.54545454545455,-13.432551039877886,53.72,0.25,4537,4071665,191425,6144,3673211,5359284,2787251,4951610
0,0,0,0,0,0,0,4940,4940,21450,0,23242.2,-0.25,51,-45.45454545454545,4.30379746835443,53.07,0.3,1236,1603810,72150,772,3673211,5359284,2787251,4951610
0,0,0,0,0,0,36,6045,4745,21500,0,23242.2,-0.25,-1617,-45.45454545454545,-2.996331023236853,50.94,0.3,52349,14533610,5533190,26122,3673211,5359284,2787251,4951610
0,0,0,0,112.26,0,1,4680,4680,21550,0,23242.2,-0.2,483,-36.36363636363637,21.504897595725733,50.88,0.35,2729,2403830,170755,1879,3673211,5359284,2787251,4951610
0,0,0,0,0,0,0,4940,4160,21600,0,23242.2,-0.2,-859,-33.333333333333336,-12.790351399642644,48.85,0.4,5857,4866875,149435,5838,3673211,5359284,2787251,4951610
0,0,0,0,0,0,0,5005,5005,21650,0,23242.2,-0.2,466,-33.333333333333336,12.93007769145394,48.04,0.4,4070,2834845,178880,2507,3673211,5359284,2787251,4951610
0,0,0,0,0,0,0,4225,4225,21700,0,23242.2,-0.2,-612,-33.333333333333336,-6.416439505137346,46.62,0.4,8926,6093100,240045,7390,3673211,5359284,2787251,4951610
