CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
0,0,0,0,129.07,0,3,4355,4940,21100,0,23129.95,-0.2,-19718,-26.666666666666668,-19.16564607997512,63.24,0.55,83164,7819565,2367950,124246,3587329,60615826,2655473,57554948
0,0,0,0,0,0,0,3380,4940,21150,0,23129.95,-0.25,491,-33.333333333333336,22.954651706404864,61.78,0.5,2630,1846130,451360,8423,3587329,60615826,2655473,57554948
0,0,0,0,0,0,0,5070,4940,21200,0,23129.95,-0.3,-3898,-37.5,-22.1112938907482,59.73,0.5,13731,3639740,1507545,33810,3587329,60615826,2655473,57554948
0,0,0,0,0,0,0,4160,4160,21250,0,23129.95,-0.25,71,-33.333333333333336,4.246411483253588,58.88,0.5,1743,1787500,383760,5658,3587329,60615826,2655473,57554948
15.2,1,0.7662062707934267,100,150.03,1999,2,4615,5135,21300,4,23129.95,-0.3,-263,-35.294117647058826,-3.590443686006826,57.96,0.55,7062,2534610,697190,11332,3587329,60615826,2655473,57554948
0,0,0,0,43.89,0,1,4550,4940,21350,0,23129.95,-0.35,826,-38.888888888888886,93.97042093287827,56.49,0.55,1705,2505035,436280,8974,3587329,60615826,2655473,57554948
-168.2,-1,-8.678154989165204,-50,0,1770,1,4745,5135,21400,2,23129.95,-0.3,-1209,-33.333333333333336,-17.48878923766816,55.51,0.6,5704,2914665,585455,16842,3587329,60615826,2655473,57554948
0,0,0,0,0,0,0,4940,4940,21450,0,23129.95,-0.3,258,-33.333333333333336,20.958570268074737,54.03,0.6,1489,2619435,450385,7803,3587329,60615826,2655473,57554948
-296.15,6,-15.375230381849804,20,85.11,1630,36,6045,5720,21500,25,23129.95,-0.4,-18821,-42.10526315789474,-24.27576422030182,52.1,0.55,58709,6191250,3793335,174396,3587329,60615826,2655473,57554948
-638.1,1,-27.8646288209607,100,90.58,1651.9,2,3900,3705,21550,2,23129.95,-0.35,1151,-36.8421052631579,75.1796211626388,51.5,0.6,2682,2610985,428805,15448,3587329,60615826,2655473,57554948
0,0,0,0,0,0,0,4940,4940,21600,0,23129.95,-0.4,1736,-40,24.361493123772103,50.77,0.6,8862,2978430,778180,58605,3587329,60615826,2655473,57554948
0,0,0,0,0,0,0,6825,6695,21650,0,23129.95,-0.35,3886,-33.333333333333336,217.0949720670391,49.6,0.7,5676,2626520,902590,24570,3587329,60615826,2655473,57554948
0,0,0,0,0,0,0,6695,6695,21700,0,23129.95,-0.35,734,-36.8421052631579,6.8662301216089805,47.41,0.6,11424,2891265,1220570,59739,3587329,60615826,2655473,57554948
0,0,0,0,0,0,1,6175,6695,21750,0,23129.95,-0.4,1346,-38.095238095238095,60.11612326931666,46.88,0.65,3585,2777970,574925,24468,3587329,60615826,2655473,57554948
0,0,0,0,0,0,0,6695,6695,21800,0,23129.95,-0.4,-1011,-36.36363636363637,-4.682072893993424,45.36,0.7,20582,3295565,2071875,135309,3587329,60615826,2655473,57554948
