CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
0,0,0,0,129.07,0,3,4745,5070,21100,0,23203.2,-0.05,519,-6.666666666666667,0.5044614218230594,64.95,0.7,103401,8488935,3173885,41106,3762824,21051931,3151466,17099805
0,0,0,0,0,0,0,3250,5070,21150,0,23203.2,-0.1,364,-13.333333333333334,17.017297802711546,63.47,0.65,2503,1960010,318825,3096,3762824,21051931,3151466,17099805
0,0,0,0,0,0,0,5070,5070,21200,0,23203.2,-0.1,393,-12.5,2.2292812978614784,61.98,0.7,18022,3752645,1263405,13161,3762824,21051931,3151466,17099805
0,0,0,0,0,0,0,5070,5070,21250,0,23203.2,0,-26,0,-1.555023923444976,60.95,0.75,1646,1914250,219570,2625,3762824,21051931,3151466,17099805
-172.9,0,-8.715596330275229,0,0,1810.9,1,4875,5070,21300,1,23203.2,-0.15,-124,-17.647058823529413,-1.6928327645051195,59.87,0.7,7201,2844725,517725,3693,3762824,21051931,3151466,17099805
0,0,0,0,43.89,0,1,5525,4940,21350,0,23203.2,-0.15,662,-16.666666666666668,75.31285551763368,58.76,0.75,1541,2633930,253435,5425,3762824,21051931,3151466,17099805
-168.2,-1,-8.678154989165204,-50,0,1770,1,4940,5070,21400,2,23203.2,-0.1,-962,-11.11111111111111,-13.915810791262839,57.25,0.8,5951,3433755,470990,9061,3762824,21051931,3151466,17099805
0,0,0,0,0,0,0,5070,5070,21450,0,23203.2,-0.05,369,-5.555555555555555,29.975629569455727,55.74,0.85,1600,2854735,245180,4590,3762824,21051931,3151466,17099805
-205.15,-2,-10.650780053474548,-6.666666666666667,86.59,1721,28,5005,6240,21500,4,23203.2,-0.1,-9326,-10.526315789473685,-12.028892041790275,54.58,0.85,68204,7917715,2117700,74109,3762824,21051931,3151466,17099805
0,0,0,0,70.1,0,1,3315,5590,21550,0,23203.2,-0.05,467,-5.2631578947368425,30.502939255388636,53.39,0.9,1998,2841605,191945,6780,3762824,21051931,3151466,17099805
0,0,0,0,0,0,0,5070,5070,21600,0,23203.2,0,1990,0,27.925905136121248,51.86,1,9116,3706690,533975,25311,3762824,21051931,3151466,17099805
0,0,0,0,0,0,0,5070,5070,21650,0,23203.2,-0.05,2919,-4.761904761904762,163.07262569832403,50.92,1,4709,2966990,311610,12229,3762824,21051931,3151466,17099805
0,0,0,0,0,0,0,5070,5070,21700,0,23203.2,0.1,301,10.526315789473685,2.815715622076707,49.1,1.05,10991,3788070,814905,25605,3762824,21051931,3151466,17099805
0,0,0,0,0,0,1,6500,6825,21750,0,23203.2,0.1,1876,9.523809523809524,83.78740509155872,48.35,1.15,4115,3351075,285415,11672,3762824,21051931,3151466,17099805
0,0,0,0,0,0,0,6825,6825,21800,0,23203.2,0.05,-311,4.545454545454546,-1.4402815727319038,46.79,1.15,21282,5145075,870220,74679,3762824,21051931,3151466,17099805
0,0,0,0,0,0,0,6695,6695,21850,0,23203.2,0.05,784,4.3478260869565215,26.379542395693136,45.23,1.2,3756,2853695,278460,9967,3762824,21051931,3151466,17099805
0,0,0,0,0,0,0,6825,6695,21900,0,23203.2,0.05,1374,4.3478260869565215,6.269392224858551,43.9,1.2,23290,5035355,933010,42125,3762824,21051931,3151466,17099805
0,0,0,0,56.97,0,2,7280,7345,21950,0,23203.2,0.2,1953,17.391304347826086,56.85589519650655,42.54,1.35,5388,3067025,321425,14610,3762824,21051931,3151466,17099805
-202.95,-42,-14.21268251689485,-10.714285714285714,71.97,1225,350,8125,8190,22000,122,23203.2,0.15,25499,12,24.546828521645377,41.55,1.4,129378,14828515,2697175,203084,3762824,21051931,3151466,17099805
0,0,0,0,88.34,0,2,6370,6435,22050,0,23203.2,0.15,1511,12,43.683145417750794,39.95,1.4,4970,4056780,366470,20599,3762824,21051931,3151466,17099805
-225.3,1,-17.17552887364208,12.5,51.7,1086.45,9,6955,6695,22100,8,23203.2,0.25,3650,19.23076923076923,15.517387977212822,38.53,1.55,27172,5802095,1401855,86639,3762824,21051931,3151466,17099805
0,0,0,0,0,0,1,6370,6695,22150,0,23203.2,0.2,6244,14.814814814814815,144.93964716805942,37.08,1.55,10552,3843255,581880,38928,3762824,21051931,3151466,17099805
-254.85,7,-20.861130438341586,87.5,0,966.8,15,7150,6760,22200,25,23203.2,0.35,15504,25.925925925925927,41.31425373730914,35.91,1.7,53031,7261800,2008045,178615,3762824,21051931,3151466,17099805
-249.25,2,-20.783823222847612,18.181818181818183,55.1,950,13,6565,6630,22250,5,23203.2,0.2,-1558,12.903225806451612,-8.8683970856102,34.54,1.75,16010,3992300,1224535,77953,3762824,21051931,3151466,17099805
-230.4,3,-20.411055988660525,4.6875,51.86,898.4,67,8450,8385,22300,34,23203.2,0.35,27950,22.580645161290324,66.76540142846905,33.26,1.9,69813,8622705,2732470,253110,3762824,21051931,3151466,17099805
-239.1,0,-22.36460574314844,0,34.18,830,19,7085,6825,22350,1,23203.2,0.5,8933,28.571428571428573,72.01709126088359,32.47,2.25,21337,4591665,1265095,97440,3762824,21051931,3151466,17099805
-203,4,-19.835841313269494,4.301075268817204,39.44,820.4,97,12285,12025,22400,178,23203.2,0.65,21055,35.13513513513514,56.08982897330705,31.41,2.5,58593,6593080,2562820,209818,3762824,21051931,3151466,17099805
-192.3,1,-20.099294486542984,3.125,42.7,764.45,33,7410,7215,22450,2,23203.2,0.85,10022,41.46341463414634,62.496882015465204,30.47,2.9,26058,4015505,830050,130148,3762824,21051931,3151466,17099805
-208.2,-175,-22.481373501781665,-6.933438985736926,41.04,717.9,2349,65585,31590,22500,3428,23203.2,1.2,34420,52.17391304347826,21.922589438687446,29.5,3.5,191427,12129260,1592890,577660,3762824,21051931,3151466,17099805
-193.6,5,-22.283609576427256,5.882352941176471,39.62,675.2,90,13715,12870,22550,102,23203.2,1.65,20645,62.264150943396224,94.18339416058394,28.71,4.3,42565,3012555,488215,196805,3762824,21051931,3151466,17099805
-203.45,248,-24.563839420464834,58.35294117647059,35.06,624.8,673,24440,18785,22600,1407,23203.2,2.4,29451,81.35593220338983,66.438819707634,27.83,5.35,73779,4959435,520390,382856,3762824,21051931,3151466,17099805
-191.35,105,-24.797511825309403,94.5945945945946,30.99,580.3,216,18655,17550,22650,641,23203.2,3.2,11594,91.42857142857143,34.46389821943462,27.24,6.7,45235,3195075,475150,269006,3762824,21051931,3151466,17099805
-200.5,424,-27.660895357660205,86.17886178861788,32.12,524.35,916,46605,32890,22700,3502,23203.2,4.35,43436,103.57142857142857,57.09178375678553,26.57,8.55,119517,4805710,873145,576370,3762824,21051931,3151466,17099805
-193.2,170,-28.84012539184953,85.42713567839196,31.32,476.7,369,37115,17745,22750,2389,23203.2,6.15,22881,118.26923076923077,73.9456419868791,26.14,11.35,53824,3399045,468520,367231,3762824,21051931,3151466,17099805
-193.1,1635,-30.92568866111467,142.2976501305483,30.99,431.3,2784,366340,36335,22800,22493,23203.2,8.15,70006,118.97810218978103,94.38587029796413,25.78,15,144176,4305340,1006915,891114,3762824,21051931,3151466,17099805
-192.9,614,-33.247156153050675,144.81132075471697,29.01,387.3,1038,126945,33735,22850,7832,23203.2,10.95,45109,126.58959537572254,151.18477058685525,25.43,19.6,74946,3892525,476710,494486,3762824,21051931,3151466,17099805
-190,4444,-35.744520741228484,522.8235294117648,28.98,341.55,5294,215280,60255,22900,55113,23203.2,14.75,72309,128.82096069868996,88.79133563368002,25.1,26.2,153746,4183595,1088490,928926,3762824,21051931,3151466,17099805
-184.7,4185,-38.113908378043746,798.6641221374045,28.14,299.9,4709,148135,42445,22950,37112,23203.2,19.15,38578,125.98684210526316,155.3497362380703,24.91,34.35,63411,3742765,562770,661961,3762824,21051931,3151466,17099805
-176.1,17972,-40.315934065934066,158.51120127006527,27.46,260.7,29310,3623490,236080,23000,431637,23203.2,25,113291,125.94458438287154,79.64889832534203,24.71,44.85,255529,5222685,2492880,1983614,3762824,21051931,3151466,17099805
-168.55,12862,-43.041368743615934,1644.7570332480818,27.28,223.05,13644,2219685,111605,23050,247799,23203.2,32.25,65712,126.96850393700787,124.75698663426489,24.4,57.65,118384,3655015,850135,948384,3762824,21051931,3151466,17099805
-160.4,65838,-45.953301819223604,1320.4572803850783,26.8,188.65,70824,3029260,527345,23100,1303592,23203.2,39.8,198462,119.34032983508246,340.77164786483286,24.21,73.15,256701,4665440,2630550,2320300,3762824,21051931,3151466,17099805
