CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
-239.2,-3,-10.529559360831096,-100,0,2032.5,0,4745,3575,21100,4,23176.4,-0.45,-51516,-90,-64.47962951373678,56.14,0.05,28379,2289885,3247270,151208,5778367,127509722,4377948,124145823
-1027.1,1,-34.187095378368035,0,0,1977.25,1,4615,5070,21150,2,23176.4,-0.4,-216,-80,-10.150375939849624,54.85,0.1,1912,1171365,168610,4799,5778367,127509722,4377948,124145823
-972.45,1,-32.90862944162436,0,0,1982.55,1,4810,5070,21200,2,23176.4,-0.35,-4944,-70,-39.89670755326017,53.56,0.15,7448,2177110,337480,26541,5778367,127509722,4377948,124145823
-831.85,0,-28.62772089821905,0,148.59,2073.9,0,5395,5070,21250,2,23176.4,-0.35,542,-70,42.048099301784326,53.96,0.15,1831,440505,87425,2900,5778367,127509722,4377948,124145823
0,0,0,0,163.68,0,1,5525,5070,21300,0,23176.4,-0.35,-4162,-70,-62.803681907348725,50.98,0.15,2465,730730,101400,14767,5778367,127509722,4377948,124145823
0,0,0,0,43.89,0,1,5525,5070,21350,0,23176.4,-0.4,35,-72.72727272727273,3.8293216630196936,49.69,0.15,949,348595,59865,2437,5778367,127509722,4377948,124145823
0,0,0,0,103.63,0,1,4550,5070,21400,0,23176.4,-0.45,-2394,-81.81818181818181,-45.67830566685747,48.41,0.1,2847,781560,153985,18212,5778367,127509722,4377948,124145823
0,0,0,0,0,0,0,5070,5070,21450,0,23176.4,-0.4,104,-72.72727272727273,8.776371308016877,47.12,0.15,1289,882700,125190,5609,5778367,127509722,4377948,124145823
70.2,-8,4.296337097218397,-22.22222222222222,0,1704.15,28,4940,5980,21500,15,23176.4,-0.45,-19608,-81.81818181818181,-36.33398806656043,45.84,0.1,34358,15880735,3755700,139667,5778367,127509722,4377948,124145823
0,0,0,0,112.26,0,1,4615,5395,21550,0,23176.4,-0.45,557,-81.81818181818181,24.799643811219948,44.55,0.1,2803,865605,186030,11132,5778367,127509722,4377948,124145823
0,0,0,0,0,0,0,4940,4940,21600,0,23176.4,-0.45,-2362,-75,-35.1697438951757,44.7,0.15,4354,1902810,479700,18122,5778367,127509722,4377948,124145823
0,0,0,0,0,0,0,4940,4940,21650,0,23176.4,-0.45,155,-75,4.300776914539401,41.98,0.15,3759,1273350,229385,17602,5778367,127509722,4377948,124145823
0,0,0,0,0,0,0,6825,6695,21700,0,23176.4,-0.5,-1194,-83.33333333333333,-12.518347661983645,40.7,0.1,8344,2212405,708825,77131,5778367,127509722,4377948,124145823
0,0,0,0,0,0,1,6305,6695,21750,0,23176.4,-0.55,936,-84.61538461538461,50.05347593582888,39.41,0.1,2806,1552005,254865,20633,5778367,127509722,4377948,124145823
0,0,0,0,0,0,0,6825,6825,21800,0,23176.4,-0.55,-7635,-78.57142857142857,-34.32540574562784,38.13,0.15,14608,2986295,1673100,86095,5778367,127509722,4377948,124145823
0,0,0,0,0,0,0,6825,6825,21850,0,23176.4,-0.65,342,-86.66666666666667,12.144886363636363,38.09,0.1,3158,1779505,177515,14201,5778367,127509722,4377948,124145823
0,0,0,0,0,0,0,6825,6825,21900,0,23176.4,-0.55,-4729,-78.57142857142857,-30.839963479848702,35.56,0.15,10605,4057820,966810,50534,5778367,127509722,4377948,124145823
0,0,0,0,56.97,0,2,6370,7280,21950,0,23176.4,-0.7,3635,-82.3529411764706,102.33671171171171,35.45,0.15,7187,2978170,426855,33657,5778367,127509722,4377948,124145823
56.05,-158,4.986876640419948,-44.88636363636363,0,1180,194,10205,14755,22000,287,23176.4,-0.7,-4946,-82.3529411764706,-4.83026680729716,32.99,0.15,97450,16648515,9353500,635192,5778367,127509722,4377948,124145823
0,0,0,0,76.79,0,5,6500,7215,22050,0,23176.4,-0.8,4553,-88.88888888888889,110.24213075060533,31.71,0.1,8683,7175675,2270580,55228,5778367,127509722,4377948,124145823
98.15,3,9.605127954200714,37.5,48.76,1120,11,6370,6955,22100,30,23176.4,-0.8,4783,-88.88888888888889,19.269196680364193,30.42,0.1,29605,9638135,5670405,208328,5778367,127509722,4377948,124145823
98.7,8,10.246029274369356,400,0,1062,10,6500,6695,22150,29,23176.4,-0.85,10787,-85,126.63770838224936,29.13,0.15,19305,7302295,2368535,108550,5778367,127509722,4377948,124145823
-3.8,3,-0.4108996539792388,21.428571428571427,0,921,17,8125,6760,22200,10,23176.4,-1,26115,-90.9090909090909,66.99589533093895,28.83,0.1,65095,10495615,7275710,350268,5778367,127509722,4377948,124145823
2.25,1,0.25588536335721596,10,0,881.55,11,7280,6630,22250,4,23176.4,-1,15002,-86.95652173913044,114.51034272192962,28.22,0.15,28103,9257560,4502940,148654,5778367,127509722,4377948,124145823
103.9,-1,12.632986807708676,-1.7543859649122806,47.18,926.35,56,8060,9490,22300,104,23176.4,-1.2,-895,-88.88888888888889,-1.761464278685298,26.17,0.15,49915,14244490,6956170,416624,5778367,127509722,4377948,124145823
20.55,0,2.643766885372443,0,0,797.85,20,6175,5980,22350,26,23176.4,-1.55,3598,-91.17647058823529,11.553528996210904,24.83,0.15,34740,10167235,3769675,296042,5778367,127509722,4377948,124145823
91.3,-229,12.381339842690535,-53.00925925925926,44.6,828.7,203,14625,15925,22400,719,23176.4,-1.85,22677,-94.87179487179488,29.40634887701644,23.5,0.1,99793,14352650,10514205,624211,5778367,127509722,4377948,124145823
78.05,0,11.630159439725823,0,0,749.15,42,9165,5720,22450,5,23176.4,-2.1,25318,-93.33333333333333,104.81907758549309,22.16,0.15,49472,12842700,4149795,422663,5778367,127509722,4377948,124145823
53.7,-245,8.506256930144147,-24.019607843137255,0,685,775,134095,25675,22500,4148,23176.4,-2.55,41332,-94.44444444444444,26.540126112473832,21.86,0.15,197066,27925430,12480455,1538222,5778367,127509722,4377948,124145823
80.85,90,13.850107066381156,66.66666666666667,21.62,664.6,225,1364675,15210,22550,438,23176.4,-3,16246,-95.23809523809524,53.94474697835038,20.46,0.15,46362,17204655,6251115,670263,5778367,127509722,4377948,124145823
56.85,62,10.663040420144425,15.776081424936386,0,590,455,1798875,19565,22600,1678,23176.4,-3.9,33155,-96.29629629629629,61.39132688960486,19.05,0.15,87161,19755190,10668385,1186174,5778367,127509722,4377948,124145823
44.35,73,9.132091012045711,27.75665399239544,19.79,530,336,1276405,18980,22650,1198,23176.4,-5,40141,-95.23809523809524,102.14774664732677,17.63,0.25,79438,19224790,5963685,863750,5778367,127509722,4377948,124145823
