CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
0,0,0,0,129.07,0,3,4745,5070,21100,0,23209.55,-0.05,-1135,-6.666666666666667,-1.103205614198791,66.44,0.7,101747,8786115,2587780,54210,3760340,29986131,3409343,25449495
0,0,0,0,0,0,0,3380,5070,21150,0,23209.55,0,282,0,13.183730715287517,65.4,0.75,2421,2033330,268385,4575,3760340,29986131,3409343,25449495
0,0,0,0,0,0,0,5070,4940,21200,0,23209.55,-0.05,-368,-6.25,-2.0874695104657097,63.46,0.75,17261,4072055,934310,17836,3760340,29986131,3409343,25449495
0,0,0,0,0,0,0,4290,4290,21250,0,23209.55,0.05,21,6.666666666666667,1.255980861244019,62.4,0.8,1693,1952795,163150,3118,3760340,29986131,3409343,25449495
-172.9,0,-8.715596330275229,0,0,1810.9,1,4745,5070,21300,1,23209.55,-0.05,-379,-5.882352941176471,-5.174061433447099,61.3,0.8,6946,2897505,422110,5499,3760340,29986131,3409343,25449495
0,0,0,0,43.89,0,1,4745,5070,21350,0,23209.55,-0.1,875,-11.11111111111111,99.54493742889647,60.17,0.8,1754,2706860,214370,6286,3760340,29986131,3409343,25449495
-168.2,-1,-8.678154989165204,-50,0,1770,1,4810,5070,21400,2,23209.55,-0.1,-999,-11.11111111111111,-14.451034283234486,58.65,0.8,5914,3439540,373685,10162,3760340,29986131,3409343,25449495
0,0,0,0,0,0,0,5070,5070,21450,0,23209.55,-0.05,407,-5.555555555555555,33.0625507717303,57.14,0.85,1638,2850835,241085,5230,3760340,29986131,3409343,25449495
-222.2,9,-11.535965527087713,30,0,1703.95,39,5785,5200,21500,17,23209.55,-0.1,-11292,-10.526315789473685,-14.564684638204566,55.63,0.85,66238,7916935,2070835,89413,3760340,29986131,3409343,25449495
-638.1,1,-27.8646288209607,100,0,1651.9,2,5395,4615,21550,2,23209.55,0,708,0,46.24428478118877,54.44,0.95,2239,2866955,246480,8005,3760340,29986131,3409343,25449495
0,0,0,0,0,0,0,5070,5070,21600,0,23209.55,0,3427,0,48.09149593039574,53.53,1,10553,3775395,618280,31879,3760340,29986131,3409343,25449495
0,0,0,0,0,0,0,5070,5070,21650,0,23209.55,0,3270,0,182.68156424581005,51.99,1.05,5060,2967965,338975,13455,3760340,29986131,3409343,25449495
