CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
-239.2,-3,-10.529559360831096,-100,157.04,2032.5,0,4550,4225,21100,4,23130.95,-0.3,-45021,-60,-56.350209650165844,58.09,0.2,34874,10808005,2498405,128666,6347686,40388011,3652841,46737604
0,0,0,0,0,0,0,5070,4940,21150,0,23130.95,-0.25,-244,-50,-11.466165413533835,56.73,0.25,1884,2605135,143195,2948,6347686,40388011,3652841,46737604
0,0,0,0,0,0,0,5070,5070,21200,0,23130.95,-0.25,-4757,-50,-38.38766946417043,55.38,0.25,7635,6214455,389350,17815,6347686,40388011,3652841,46737604
-831.85,1,-28.62772089821905,0,165.02,2073.9,1,5525,5070,21250,2,23130.95,-0.3,299,-60,23.196276183087665,55.95,0.2,1588,2145000,111930,1723,6347686,40388011,3652841,46737604
0,0,0,0,163.68,0,1,5525,4940,21300,0,23130.95,-0.25,-3297,-50,-49.75101856043459,53.68,0.25,3330,3633955,281645,9631,6347686,40388011,3652841,46737604
0,0,0,0,43.89,0,1,5525,5070,21350,0,23130.95,-0.3,10,-54.54545454545455,1.0940919037199124,52.31,0.25,924,1261585,59670,911,6347686,40388011,3652841,46737604
0,0,0,0,103.63,0,1,5525,5070,21400,0,23130.95,-0.3,-1253,-54.54545454545455,-23.90765121160084,51.76,0.25,3988,3996590,298870,10276,6347686,40388011,3652841,46737604
0,0,0,0,0,0,0,5070,5070,21450,0,23130.95,-0.3,-78,-54.54545454545455,-6.582278481012659,50.36,0.25,1107,2029040,94640,2347,6347686,40388011,3652841,46737604
48.7,-7,2.980507359466324,-19.444444444444443,84.45,1682.65,29,4875,5525,21500,11,23130.95,-0.3,-16293,-54.54545454545455,-30.19123151613979,47.25,0.25,37673,19440330,4884620,87612,6347686,40388011,3652841,46737604
0,0,0,0,112.26,0,1,5525,5395,21550,0,23130.95,-0.3,471,-54.54545454545455,20.970614425645593,46.8,0.25,2717,2910115,197860,7015,6347686,40388011,3652841,46737604
0,0,0,0,0,0,0,5070,4940,21600,0,23130.95,-0.3,-1877,-50,-27.948183442525313,45.43,0.3,4839,4232345,150215,11150,6347686,40388011,3652841,46737604
0,0,0,0,0,0,0,6825,6825,21650,0,23130.95,-0.35,532,-58.333333333333336,14.761376248612653,45.43,0.25,4136,2463565,218530,7477,6347686,40388011,3652841,46737604
0,0,0,0,0,0,0,6825,6825,21700,0,23130.95,-0.3,-1601,-50,-16.785489620465505,42.68,0.3,7937,6512805,730015,39103,6347686,40388011,3652841,46737604
0,0,0,0,0,0,1,7280,6825,21750,0,23130.95,-0.4,1462,-61.53846153846154,78.18181818181819,42,0.25,3332,3016520,302445,15109,6347686,40388011,3652841,46737604
