CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
-239.2,0,-10.529559360831096,0,159.45,2032.5,3,5785,4940,21100,4,23134.55,-0.35,-44922,-70,-56.226297014831964,57.93,0.15,34973,10824385,2508025,128411,6359680,39749185,3897237,46013915
0,0,0,0,0,0,0,4940,4940,21150,0,23134.55,-0.25,-254,-50,-11.936090225563909,57.65,0.25,1874,2607215,141635,2936,6359680,39749185,3897237,46013915
0,0,0,0,0,0,0,5070,5070,21200,0,23134.55,-0.25,-4757,-50,-38.38766946417043,56.27,0.25,7635,6496945,385450,17723,6359680,39749185,3897237,46013915
-831.85,1,-28.62772089821905,0,167.03,2073.9,1,4745,4160,21250,2,23134.55,-0.25,299,-50,23.196276183087665,55.78,0.25,1588,2189720,81120,1625,6359680,39749185,3897237,46013915
0,0,0,0,163.68,0,1,4940,4940,21300,0,23134.55,-0.25,-3297,-50,-49.75101856043459,53.51,0.25,3330,3633175,257790,9620,6359680,39749185,3897237,46013915
0,0,0,0,43.89,0,1,5395,5070,21350,0,23134.55,-0.3,10,-54.54545454545455,1.0940919037199124,52.14,0.25,924,1257880,56225,905,6359680,39749185,3897237,46013915
0,0,0,0,103.63,0,1,5525,4940,21400,0,23134.55,-0.3,-1235,-54.54545454545455,-23.564205304331235,51.59,0.25,4006,3994575,291850,10273,6359680,39749185,3897237,46013915
0,0,0,0,0,0,0,5070,4940,21450,0,23134.55,-0.25,-78,-45.45454545454545,-6.582278481012659,50.19,0.3,1107,2026180,94640,2341,6359680,39749185,3897237,46013915
48.7,-7,2.980507359466324,-19.444444444444443,89.64,1682.65,29,4615,5720,21500,11,23134.55,-0.3,-16250,-54.54545454545455,-30.111551717748213,47.09,0.25,37716,19441500,4925960,87543,6359680,39749185,3897237,46013915
0,0,0,0,112.26,0,1,4420,4745,21550,0,23134.55,-0.3,471,-54.54545454545455,20.970614425645593,46.63,0.25,2717,2928705,196300,7006,6359680,39749185,3897237,46013915
0,0,0,0,0,0,0,5070,4940,21600,0,23134.55,-0.3,-1877,-50,-27.948183442525313,45.26,0.3,4839,4182945,115440,11025,6359680,39749185,3897237,46013915
