CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
0,0,0,0,129.07,0,3,4745,5070,21100,0,23155,-0.25,-15707,-33.333333333333336,-15.267004918255866,63.07,0.5,87175,7032610,2857205,113283,3854293,53370030,3119259,49304621
0,0,0,0,0,0,0,3380,5070,21150,0,23155,-0.2,598,-26.666666666666668,27.956989247311828,62.18,0.55,2737,1918280,667875,6930,3854293,53370030,3119259,49304621
0,0,0,0,0,0,0,5070,4940,21200,0,23155,-0.25,-1914,-31.25,-10.857110443020025,60.72,0.55,15715,3717935,1320280,25254,3854293,53370030,3119259,49304621
0,0,0,0,0,0,0,4290,4290,21250,0,23155,-0.15,90,-20,5.382775119617225,59.76,0.6,1762,1870440,316225,5353,3854293,53370030,3119259,49304621
15.2,1,0.7662062707934267,100,152.12,1999,2,3965,4290,21300,4,23155,-0.25,-276,-29.41176470588235,-3.7679180887372015,58.75,0.6,7049,2697630,592865,9482,3854293,53370030,3119259,49304621
0,0,0,0,43.89,0,1,4745,5070,21350,0,23155,-0.2,908,-22.22222222222222,103.29920364050056,57.69,0.7,1787,2625155,366925,8431,3854293,53370030,3119259,49304621
-168.2,-1,-8.678154989165204,-50,67.41,1770,1,3965,4355,21400,2,23155,-0.25,-1098,-27.77777777777778,-15.883118761753218,55.78,0.65,5815,3155620,575575,14700,3854293,53370030,3119259,49304621
0,0,0,0,0,0,0,5070,5070,21450,0,23155,-0.25,288,-27.77777777777778,23.39561332250203,54.71,0.65,1519,2706470,404495,7339,3854293,53370030,3119259,49304621
-234.15,6,-12.156374114165564,20,90.02,1692,36,5460,5070,21500,22,23155,-0.3,-15005,-31.57894736842105,-19.353798529601445,53.21,0.65,62525,6291935,3482700,149867,3854293,53370030,3119259,49304621
-638.1,1,-27.8646288209607,100,94.49,1651.9,2,3965,3965,21550,2,23155,-0.15,1494,-15.789473684210526,97.58327890267799,52.45,0.8,3025,2735330,458770,14076,3854293,53370030,3119259,49304621
0,0,0,0,0,0,0,5070,5070,21600,0,23155,-0.2,3688,-20,51.75413976985686,51.27,0.8,10814,3401710,860210,52150,3854293,53370030,3119259,49304621
0,0,0,0,0,0,0,5070,5070,21650,0,23155,-0.2,4024,-19.047619047619047,224.80446927374302,49.75,0.85,5814,2822755,731510,22681,3854293,53370030,3119259,49304621
0,0,0,0,0,0,0,6825,6825,21700,0,23155,-0.1,2341,-10.526315789473685,21.898971000935454,48.23,0.85,13031,3341780,1344785,52665,3854293,53370030,3119259,49304621
0,0,0,0,0,0,1,6500,6695,21750,0,23155,-0.1,2161,-9.523809523809524,96.51630192050023,47.28,0.95,4400,3055650,589225,21150,3854293,53370030,3119259,49304621
0,0,0,0,0,0,0,6825,6825,21800,0,23155,-0.1,76,-9.090909090909092,0.35196591487982215,46.01,1,21669,4036955,1738165,120560,3854293,53370030,3119259,49304621
0,0,0,0,0,0,0,6825,6825,21850,0,23155,-0.15,487,-13.043478260869565,16.38627187079408,44.2,1,3459,2578225,468130,23435,3854293,53370030,3119259,49304621
0,0,0,0,0,0,0,6825,6825,21900,0,23155,-0.1,2713,-8.695652173913043,12.37908377441139,43.15,1.05,24629,4167280,1731340,79189,3854293,53370030,3119259,49304621
0,0,0,0,56.97,0,2,6500,6500,21950,0,23155,0,5136,0,149.51965065502182,42.04,1.15,8571,3115255,645580,40331,3854293,53370030,3119259,49304621
-267.95,-58,-18.764662628243286,-14.795918367346939,0,1160,334,8645,9295,22000,222,23155,0,23852,0,22.961330008952725,40.67,1.25,127731,12095200,3731455,467289,3854293,53370030,3119259,49304621
-214.6,1,-15.610678693533135,50,74.64,1160.1,3,6435,6500,22050,9,23155,0,4437,0,128.27406764960972,39.28,1.25,7896,4086875,758680,59831,3854293,53370030,3119259,49304621
-245.75,-1,-18.734514960930056,-12.5,0,1066,7,8255,7670,22100,20,23155,-0.05,4654,-3.8461538461538463,19.785732505739308,37.69,1.25,28176,5082090,1972620,161915,3854293,53370030,3119259,49304621
