CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
-239.2,-3,-10.529559360831096,-100,0,2032.5,0,4940,4225,21100,4,23160.45,-0.3,-45116,-60,-56.469115714375114,56.58,0.2,34779,10426585,2486770,128967,6409341,45452975,3921803,52201560
0,0,0,0,0,0,0,4290,4290,21150,0,23160.45,-0.25,-246,-50,-11.56015037593985,57.64,0.25,1882,2543645,143845,2958,6409341,45452975,3921803,52201560
0,0,0,0,0,0,0,4290,4290,21200,0,23160.45,-0.3,-4756,-60,-38.379599741768885,56.26,0.2,7636,6126835,405015,18514,6409341,45452975,3921803,52201560
-831.85,0,-28.62772089821905,0,167.09,2073.9,0,3965,4290,21250,2,23160.45,-0.3,308,-60,23.894491854150505,53.85,0.2,1597,2223845,104585,1749,6409341,45452975,3921803,52201560
0,0,0,0,163.68,0,1,4745,5070,21300,0,23160.45,-0.3,-3487,-60,-52.61807756149087,53.51,0.2,3140,3607045,255645,9929,6409341,45452975,3921803,52201560
0,0,0,0,43.89,0,1,5330,4940,21350,0,23160.45,-0.35,196,-63.63636363636363,21.444201312910284,52.13,0.2,1110,1664000,90090,1138,6409341,45452975,3921803,52201560
0,0,0,0,103.63,0,1,5525,4940,21400,0,23160.45,-0.35,-1355,-63.63636363636363,-25.8538446861286,50.76,0.2,3886,3893955,457860,10600,6409341,45452975,3921803,52201560
0,0,0,0,0,0,0,4290,4290,21450,0,23160.45,-0.3,-72,-54.54545454545455,-6.075949367088608,49.38,0.25,1113,1850355,106795,2487,6409341,45452975,3921803,52201560
48.7,-7,2.980507359466324,-19.444444444444443,89.78,1682.65,29,5200,5265,21500,11,23160.45,-0.35,-16727,-63.63636363636363,-30.995441574324573,47.08,0.2,37239,18603910,5014685,90530,6409341,45452975,3921803,52201560
0,0,0,0,112.26,0,1,4745,5070,21550,0,23160.45,-0.35,447,-63.63636363636363,19.90204808548531,46.63,0.2,2693,2731950,215020,7206,6409341,45452975,3921803,52201560
0,0,0,0,0,0,0,4290,4290,21600,0,23160.45,-0.3,-1896,-50,-28.231089934484814,46,0.3,4820,4294355,117000,11468,6409341,45452975,3921803,52201560
0,0,0,0,0,0,0,5070,5070,21650,0,23160.45,-0.3,26,-50,0.7214206437291898,44.61,0.3,3630,2470780,149240,7874,6409341,45452975,3921803,52201560
