CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
-91.7,0,-4.036624554298543,0,159.36,2180,3,4680,4745,21100,3,23158.15,-0.3,-44855,-60,-56.1424369484949,57.93,0.2,35040,10866310,2399150,126644,6306793,37361457,3800326,42926337
0,0,0,0,0,0,0,5070,5070,21150,0,23158.15,-0.3,-277,-60,-13.016917293233083,57.65,0.2,1851,2599740,136565,2924,6306793,37361457,3800326,42926337
0,0,0,0,0,0,0,5070,5070,21200,0,23158.15,-0.3,-4747,-60,-38.30697224015494,56.28,0.2,7645,6488170,395655,17542,6306793,37361457,3800326,42926337
-831.85,1,-28.62772089821905,0,166.96,2073.9,1,4615,4940,21250,2,23158.15,-0.2,311,-40,24.12723041117145,55.78,0.3,1600,2192775,75140,1540,6306793,37361457,3800326,42926337
0,0,0,0,163.68,0,1,4745,5070,21300,0,23158.15,-0.25,-3290,-50,-49.645390070921984,53.52,0.25,3337,3637920,251095,9579,6306793,37361457,3800326,42926337
0,0,0,0,43.89,0,1,4745,5070,21350,0,23158.15,-0.3,10,-54.54545454545455,1.0940919037199124,52.14,0.25,924,1257490,56225,903,6306793,37361457,3800326,42926337
0,0,0,0,103.63,0,1,4615,5070,21400,0,23158.15,-0.3,-1340,-54.54545454545455,-25.567639763403932,51.59,0.25,3901,3968380,287040,9627,6306793,37361457,3800326,42926337
0,0,0,0,0,0,0,5070,5070,21450,0,23158.15,-0.25,-51,-45.45454545454545,-4.30379746835443,50.2,0.3,1134,2028195,88920,2277,6306793,37361457,3800326,42926337
48.7,-7,2.980507359466324,-19.444444444444443,89.46,1682.65,29,5330,4875,21500,11,23158.15,-0.3,-16174,-54.54545454545455,-29.970722306637512,47.09,0.25,37792,19609200,4861870,86204,6306793,37361457,3800326,42926337
0,0,0,0,112.26,0,1,4745,4745,21550,0,23158.15,-0.3,480,-54.54545454545455,21.371326803205697,46.64,0.25,2726,2938650,204490,6847,6306793,37361457,3800326,42926337
0,0,0,0,0,0,0,5070,5070,21600,0,23158.15,-0.35,-1839,-58.333333333333336,-27.382370458606314,45.27,0.25,4877,4773795,135850,10911,6306793,37361457,3800326,42926337
0,0,0,0,0,0,0,5070,5070,21650,0,23158.15,-0.25,481,-41.666666666666664,13.346281908990012,45.26,0.35,4085,2913040,113750,6121,6306793,37361457,3800326,42926337
0,0,0,0,0,0,0,6825,6825,21700,0,23158.15,-0.35,-1659,-58.333333333333336,-17.393583560494864,43.23,0.25,7879,6557460,798785,38324,6306793,37361457,3800326,42926337
0,0,0,0,0,0,1,7280,6825,21750,0,23158.15,-0.35,1459,-53.84615384615385,78.02139037433155,41.83,0.3,3329,3315650,292955,14291,6306793,37361457,3800326,42926337
0,0,0,0,0,0,0,6825,6825,21800,0,23158.15,-0.35,-5684,-50,-25.554106910039113,41.03,0.35,16559,9598030,2765750,48517,6306793,37361457,3800326,42926337
0,0,0,0,0,0,0,6825,6825,21850,0,23158.15,-0.45,96,-60,3.409090909090909,39.61,0.3,2912,4528160,240175,9511,6306793,37361457,3800326,42926337
0,0,0,0,0,0,0,6825,6825,21900,0,23158.15,-0.35,-3186,-50,-20.777357506195383,37.64,0.35,12148,6770335,800410,27486,6306793,37361457,3800326,42926337
0,0,0,0,56.97,0,2,7150,6435,21950,0,23158.15,-0.45,3696,-52.94117647058823,104.05405405405405,37.27,0.4,7248,5425615,451945,19400,6306793,37361457,3800326,42926337
39.05,-118,3.47435384136305,-33.52272727272727,49.55,1163,234,10010,8645,22000,196,23158.15,-0.45,3985,-52.94117647058823,3.89175358412438,35.37,0.4,106381,42388580,9151480,316437,6306793,37361457,3800326,42926337
0,0,0,0,76.79,0,5,6565,6500,22050,0,23158.15,-0.5,3789,-55.55555555555556,91.74334140435835,34.4,0.4,7919,13442000,1598155,29074,6306793,37361457,3800326,42926337
49.15,0,4.809903606204434,0,54.16,1071,8,6890,8255,22100,11,23158.15,-0.55,10250,-61.111111111111114,41.29401337523165,32.97,0.35,35072,21486855,6585345,122775,6306793,37361457,3800326,42926337
55.55,1,5.766635523720544,50,50.23,1018.85,3,7085,6695,22150,8,23158.15,-0.6,7528,-60,88.3775534162949,31.53,0.4,16046,15605980,2102035,62236,6306793,37361457,3800326,42926337
0,0,0,0,0,0,14,6500,6435,22200,0,23158.15,-0.7,22173,-63.63636363636363,56.883016931759876,29.68,0.4,61153,25704315,11589500,179291,6306793,37361457,3800326,42926337
100.75,1,11.457977936995338,10,75.24,980.05,11,6890,6825,22250,2,23158.15,-0.7,12475,-60.869565217391305,95.221738798565,28.64,0.45,25576,19688110,5314010,92438,6306793,37361457,3800326,42926337
52.3,2,6.3590491823211135,3.508771929824561,48.21,874.75,59,7865,7930,22300,33,23158.15,-0.85,5654,-62.96296296296296,11.127730761661091,27.85,0.5,56464,32245265,10701145,225886,6306793,37361457,3800326,42926337
0,0,0,0,0,0,20,6435,6305,22350,0,23158.15,-1.2,6892,-70.58823529411765,22.130884336266135,26.37,0.5,38034,24629475,3270995,93953,6306793,37361457,3800326,42926337
32.55,-296,4.414157851912123,-68.51851851851852,29.95,769.95,136,13845,25610,22400,503,23158.15,-1.4,27268,-71.7948717948718,35.35971782768816,24.88,0.55,104384,40370655,9206210,285826,6306793,37361457,3800326,42926337
0,0,0,0,0,0,42,6630,6565,22450,0,23158.15,-1.65,10285,-73.33333333333333,42.580938974910985,23.65,0.6,34439,29352180,3922490,149955,6306793,37361457,3800326,42926337
31.65,31,5.0134642800570255,3.0392156862745097,26.43,662.95,1051,40755,31785,22500,1994,23158.15,-2.05,47443,-75.92592592592592,30.46412472549347,22.14,0.65,203177,73149375,8575970,905550,6306793,37361457,3800326,42926337
22.2,-20,3.8029978586723767,-14.814814814814815,25.4,605.95,115,1266720,9685,22550,98,23158.15,-2.6,17629,-82.53968253968254,58.53699030415726,20.62,0.55,47745,39983515,5646420,285489,6306793,37361457,3800326,42926337
24.6,40,4.6140860920941575,10.178117048346056,19.86,557.75,433,1795300,20800,22600,591,23158.15,-3.35,37414,-82.71604938271605,69.27748768655334,19.48,0.7,91420,62842520,7564050,530349,6306793,37361457,3800326,42926337
23.45,-13,4.828580253268815,-4.942965779467681,22.9,509.1,250,1269190,16640,22650,481,23158.15,-4.55,36827,-86.66666666666667,93.71453291599867,18.09,0.7,76124,52614445,3685435,442675,6306793,37361457,3800326,42926337
28.15,62,6.45272206303725,7.97940797940798,21.61,464.4,839,2182700,22100,22700,1731,23158.15,-6.3,71426,-89.36170212765957,71.19461749314728,16.66,0.75,171751,91233155,7011225,925864,6306793,37361457,3800326,42926337
25.25,158,6.511927788523534,40.30612244897959,12.2,413,550,2074280,21450,22750,1216,23158.15,-8.85,27273,-91.70984455958549,64.64021615472127,15.3,0.8,69465,56362020,5155670,553734,6306793,37361457,3800326,42926337
21.25,1542,6.19623851873451,71.6542750929368,15.09,364.2,3694,6114095,55185,22800,11692,23158.15,-12.4,58880,-92.19330855018588,57.95503759990551,14.07,1.05,160476,92470625,6664385,1134455,6306793,37361457,3800326,42926337
17.9,415,6.004696410600469,50.8578431372549,16.71,316,1231,7938190,40430,22850,5373,23158.15,-17.05,43640,-92.66304347826087,96.31002824858757,12.93,1.35,88952,71506565,5671055,1712946,6306793,37361457,3800326,42926337
10.4,1110,4.059328649492584,17.474811083123427,12.03,266.6,7462,18830630,97825,22900,42840,23158.15,-23.45,74379,-91.78082191780823,75.41749896068869,12.15,2.1,173002,94605095,3553095,2609075,6306793,37361457,3800326,42926337
2.95,4116,1.3692271988860525,177.03225806451613,11.62,218.4,6441,19600165,79105,22950,37706,23158.15,-31,70419,-89.20863309352518,137.1059753509472,11.61,3.75,121780,83835180,1310725,1762759,6306793,37361457,3800326,42926337
-6.6,39275,-3.6758563074352546,182.09003662664009,11.44,172.95,60844,44437640,656630,23000,365099,23158.15,-40.15,227344,-84.70464135021098,148.85548164056362,11.24,7.25,380072,115244675,3750045,4059288,6306793,37361457,3800326,42926337
-14.6,24819,-10.167130919220055,220.20228906042055,10.74,129,36090,42452085,331760,23050,296533,23158.15,-49.45,181367,-78.55440826052423,323.69045706840853,10.9,13.5,237398,88295415,1545440,2581526,6306793,37361457,3800326,42926337
-22.05,127642,-19.5046439628483,184.58446009457563,10.82,91,196793,71204445,2125890,23100,1451835,23158.15,-57.5,253738,-69.15213469633193,244.01169388186872,10.85,25.65,357724,108129450,2938585,5155446,6306793,37361457,3800326,42926337
-28.7,254842,-32.55813953488372,398.9698630136986,10.69,59.45,318717,76249550,2804750,23150,2387418,23158.15,-61.45,244049,-58.10874704491726,545.0198758318817,10.85,44.3,288827,89372790,2133560,5024276,6306793,37361457,3800326,42926337
-30.45,562457,-45.82392776523702,419.45917324801815,10.7,36,696548,108307745,7080710,23200,5437186,23158.15,-61.75,213378,-46.41112363773018,345.47309112104136,11,71.3,275142,93081170,2046980,7041033,6306793,37361457,3800326,42926337
-28.35,496051,-58.45360824742268,550.8678608313252,10.85,20.15,586100,79336855,5425420,23250,5055646,23158.15,-59,82468,-35.833586395384145,470.9496887670607,11.08,105.65,99979,67417025,667875,3262455,6306793,37361457,3800326,42926337
-23.95,413969,-67.65536723163842,275.8046570505347,11.29,11.45,564064,114904075,5657275,23300,4480153,23158.15,-55.5,55310,-27.502477700693756,102.54936497636044,11.64,146.3,109245,62330255,536055,1896868,6306793,37361457,3800326,42926337
-19.5,179327,-75.5813953488372,258.15818265576416,11.75,6.3,248791,87990500,1959100,23350,2481298,23158.15,-50.4,7798,-20.843672456575682,63.64155716967273,12.29,191.4,20051,34140925,149045,458028,6306793,37361457,3800326,42926337
-14.95,121219,-79.3103448275862,81.08457025893496,12.58,3.9,270716,105251445,2656810,23400,2189777,23158.15,-45.2,4179,-15.904292751583393,12.601773113804958,13,239,37341,28041195,188435,343110,6306793,37361457,3800326,42926337
-11.25,88306,-80.93525179856115,119.52625879805089,13.58,2.65,162186,91508365,1678495,23450,1311630,23158.15,-41.45,476,-12.568223165554882,5.617181968373849,14.8,288.35,8950,21914100,47775,64672,6306793,37361457,3800326,42926337
