CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
0,0,0,0,129.07,0,3,4745,5070,21100,0,23217.1,0,-1733,0,-1.6844540347193873,66.52,0.75,101149,9385870,2158260,46628,3759170,21863274,3198292,17741964
0,0,0,0,0,0,0,3380,5070,21150,0,23217.1,0,252,0,11.781206171107995,65.02,0.75,2391,2031705,218855,3579,3759170,21863274,3198292,17741964
0,0,0,0,0,0,0,5070,4940,21200,0,23217.1,-0.05,9,-6.25,0.0510522434624766,63.53,0.75,17638,3889145,986635,15466,3759170,21863274,3198292,17741964
0,0,0,0,0,0,0,5070,4940,21250,0,23217.1,0,-26,0,-1.555023923444976,62.47,0.75,1646,1952990,147160,2757,3759170,21863274,3198292,17741964
-172.9,0,-8.715596330275229,0,0,1810.9,1,4875,5070,21300,1,23217.1,-0.1,-90,-11.764705882352942,-1.2286689419795223,60.97,0.75,7235,2907775,442390,3765,3759170,21863274,3198292,17741964
0,0,0,0,43.89,0,1,4745,5070,21350,0,23217.1,-0.05,792,-5.555555555555555,90.10238907849829,59.87,0.85,1671,2763475,195195,5807,3759170,21863274,3198292,17741964
-168.2,-1,-8.678154989165204,-50,0,1770,1,4940,5070,21400,2,23217.1,0,-966,0,-13.973672790394907,58.73,0.9,5947,3503435,316485,9704,3759170,21863274,3198292,17741964
0,0,0,0,0,0,0,5070,5070,21450,0,23217.1,0.05,484,5.555555555555555,39.31762794476036,57.56,0.95,1715,2907255,141440,4891,3759170,21863274,3198292,17741964
-206.15,-3,-10.7026970900501,-10,67.32,1720,27,4810,4940,21500,6,23217.1,0,-9371,0,-12.086934090029667,56.04,0.95,68159,9314825,1379105,78986,3759170,21863274,3198292,17741964
0,0,0,0,70.1,0,1,2535,5395,21550,0,23217.1,0.05,528,5.2631578947368425,34.48726322664925,54.52,1,2059,2909660,144170,6992,3759170,21863274,3198292,17741964
0,0,0,0,0,0,0,5070,5070,21600,0,23217.1,0.05,2038,5,28.599494807746282,53.89,1.05,9164,4023695,367965,28907,3759170,21863274,3198292,17741964
0,0,0,0,0,0,0,5070,5070,21650,0,23217.1,0.05,2962,4.761904761904762,165.47486033519553,52.35,1.1,4752,3065725,232180,12306,3759170,21863274,3198292,17741964
0,0,0,0,0,0,0,5070,4940,21700,0,23217.1,0.15,398,15.789473684210526,3.72310570626754,50.81,1.1,11088,4069585,600405,27094,3759170,21863274,3198292,17741964
0,0,0,0,0,0,1,6500,6825,21750,0,23217.1,0.15,1939,14.285714285714286,86.60116123269317,49.77,1.2,4178,3442010,241150,12316,3759170,21863274,3198292,17741964
0,0,0,0,0,0,0,6825,6825,21800,0,23217.1,0.1,-602,9.090909090909092,-2.787940536284907,48.44,1.2,20991,5451355,648505,78404,3759170,21863274,3198292,17741964
0,0,0,0,0,0,0,6825,6825,21850,0,23217.1,0.1,811,8.695652173913043,27.288021534320322,47.1,1.25,3783,2914340,226460,10771,3759170,21863274,3198292,17741964
