CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
0,0,0,0,129.07,0,3,4745,5070,21100,0,23218.55,0,95,0,0.09233879590210144,66.52,0.75,102977,9539335,1999790,59239,3723184,33160846,3479606,28426292
0,0,0,0,0,0,0,3380,5070,21150,0,23218.55,-0.05,282,-6.666666666666667,13.183730715287517,65.03,0.7,2421,2028130,251615,4594,3723184,33160846,3479606,28426292
0,0,0,0,0,0,0,5070,5070,21200,0,23218.55,-0.05,-713,-6.25,-4.044472176527313,63.54,0.75,16916,4295850,914355,18366,3723184,33160846,3479606,28426292
0,0,0,0,0,0,0,4290,4290,21250,0,23218.55,0,-12,0,-0.7177033492822966,62.48,0.75,1660,1949870,177190,3197,3723184,33160846,3479606,28426292
-38.25,1,-1.9281177538058272,100,0,1945.55,2,4680,4355,21300,3,23218.55,-0.05,-406,-5.882352941176471,-5.5426621160409555,60.98,0.8,6919,2882035,428675,5757,3723184,33160846,3479606,28426292
0,0,0,0,43.89,0,1,4745,5070,21350,0,23218.55,-0.1,906,-11.11111111111111,103.0716723549488,60.26,0.8,1785,2712515,224705,6362,3723184,33160846,3479606,28426292
-168.2,-1,-8.678154989165204,-50,0,1770,1,4810,5070,21400,2,23218.55,-0.1,-936,-11.11111111111111,-13.539707796904382,58.37,0.8,5977,3443180,378755,10417,3723184,33160846,3479606,28426292
0,0,0,0,0,0,0,5070,5070,21450,0,23218.55,-0.05,382,-5.555555555555555,31.031681559707554,57.23,0.85,1613,2851225,242255,5414,3723184,33160846,3479606,28426292
-222.2,9,-11.535965527087713,30,0,1703.95,39,5135,5135,21500,17,23218.55,-0.05,-11871,-5.2631578947368425,-15.311492325551399,56.05,0.9,65659,7916740,1954615,92314,3723184,33160846,3479606,28426292
-638.1,1,-27.8646288209607,100,0,1651.9,2,4745,5395,21550,2,23218.55,-0.05,898,-5.2631578947368425,58.65447419986937,55.15,0.9,2429,2880735,270270,8701,3723184,33160846,3479606,28426292
0,0,0,0,0,0,0,5070,5070,21600,0,23218.55,0,3491,0,48.98961549256245,53.61,1,10617,3851640,682435,33954,3723184,33160846,3479606,28426292
0,0,0,0,0,0,0,5070,5070,21650,0,23218.55,0.05,3308,4.761904761904762,184.80446927374302,52.36,1.1,5098,3045055,266825,13911,3723184,33160846,3479606,28426292
0,0,0,0,0,0,0,5070,4940,21700,0,23218.55,0.1,1905,10.526315789473685,17.82039289055192,50.81,1.05,12595,3967275,642200,35639,3723184,33160846,3479606,28426292
0,0,0,0,0,0,1,7280,6825,21750,0,23218.55,0.1,2227,9.523809523809524,99.46404644930773,49.78,1.15,4466,3387475,279045,14266,3723184,33160846,3479606,28426292
0,0,0,0,0,0,0,6825,6825,21800,0,23218.55,0.05,-436,4.545454545454546,-2.0191728801000326,48.22,1.15,21157,4928885,1129245,88201,3723184,33160846,3479606,28426292
0,0,0,0,0,0,0,6825,6825,21850,0,23218.55,0.05,940,4.3478260869565215,31.628532974427994,46.89,1.2,3912,2882035,299130,12952,3723184,33160846,3479606,28426292
0,0,0,0,0,0,0,6825,6825,21900,0,23218.55,0.05,3230,4.3478260869565215,14.738090892498631,45.75,1.2,25146,4887675,745160,53675,3723184,33160846,3479606,28426292
0,0,0,0,56.97,0,2,7280,7280,21950,0,23218.55,0.15,4117,13.043478260869565,119.85443959243086,44.36,1.3,7552,3321175,448175,22894,3723184,33160846,3479606,28426292
-198.4,-47,-13.894043909100459,-11.989795918367347,59.7,1229.55,345,9425,9425,22000,142,23218.55,0.1,26431,8,25.44402622281693,42.96,1.35,130310,13567710,3874000,276640,3723184,33160846,3479606,28426292
-192.35,1,-13.992143740452462,50,60.05,1182.35,3,6370,6565,22050,3,23218.55,0.15,2604,12,75.28187337380746,41.54,1.4,6063,4083755,439205,27791,3723184,33160846,3479606,28426292
-195.55,2,-14.907566228320945,25,0,1116.2,10,6695,7085,22100,13,23218.55,0.15,4640,11.538461538461538,19.72621375733356,40.27,1.45,28162,5734820,1301430,102300,3723184,33160846,3479606,28426292
-119.35,0,-10.032784129119031,0,41.92,1070.25,1,6890,6890,22150,1,23218.55,0.25,10624,18.51851851851852,246.61095636026,38.96,1.6,14932,3952845,728455,58766,3723184,33160846,3479606,28426292
-210.95,9,-17.26762984488192,112.5,0,1010.7,17,7345,7280,22200,39,23218.55,0.3,15557,22.22222222222222,41.45548538385695,37.32,1.65,53084,6619925,2513290,237697,3723184,33160846,3479606,28426292
-242.35,2,-20.20846362309777,18.181818181818183,0,956.9,13,6630,6435,22250,9,23218.55,0.15,-698,9.67741935483871,-3.973132969034608,35.96,1.7,16870,3811405,1181115,99979,3723184,33160846,3479606,28426292
-193.8,3,-17.16867469879518,4.6875,0,935,67,9295,11505,22300,39,23218.55,0.3,32486,19.35483870967742,77.60074528820199,34.44,1.85,74349,7930650,3148470,351387,3723184,33160846,3479606,28426292
-170.75,-1,-15.97137779440651,-5.2631578947368425,0,898.35,18,7670,7930,22350,7,23218.55,0.4,11653,22.857142857142858,93.94550145114479,33.59,2.15,24057,4606875,1488175,132528,3723184,33160846,3479606,28426292
-178.45,0,-17.436974789915965,0,45.2,844.95,93,8840,10140,22400,237,23218.55,0.5,22609,27.027027027027028,60.229633970909475,32.19,2.35,60147,7131670,2452775,283012,3723184,33160846,3479606,28426292
-158.5,3,-16.566501175855763,9.375,0,798.25,35,8580,7735,22450,20,23218.55,0.7,16063,34.146341463414636,100.16837116487902,31.29,2.75,32099,4269915,1488045,174880,3723184,33160846,3479606,28426292
-187.45,-485,-20.24079473059065,-19.21553090332805,36.08,738.65,2039,24570,26975,22500,6614,23218.55,1,47550,43.47826086956522,30.28527390498513,30.38,3.3,204557,11679330,1172860,785890,3723184,33160846,3479606,28426292
-189.3,23,-21.78867403314917,27.058823529411764,39.68,679.5,108,18525,14430,22550,172,23218.55,1.2,26238,45.283018867924525,119.69890510948905,29.23,3.85,48158,3023670,483340,293051,3723184,33160846,3479606,28426292
-191.6,263,-23.133111983096892,61.88235294117647,36.37,636.65,688,29380,18135,22600,1844,23218.55,1.6,43040,54.23728813559322,97.09438729471215,28.41,4.55,87368,5052775,932490,565822,3723184,33160846,3479606,28426292
-176.65,173,-22.892503077820255,155.85585585585585,34.56,595,284,114725,16380,22650,922,23218.55,2.15,22172,61.42857142857143,65.90767218572576,27.55,5.65,55813,3159910,341770,400648,3723184,33160846,3479606,28426292
-185.05,401,-25.52941987997517,81.5040650406504,33.36,539.8,893,70330,23335,22700,5111,23218.55,2.75,57841,65.47619047619048,76.02555171461995,26.61,6.95,133922,4938960,1180920,916326,3723184,33160846,3479606,28426292
-178.25,243,-26.608449022242127,122.1105527638191,31.86,491.65,442,39520,18135,22750,3111,23218.55,3.75,34450,72.11538461538461,111.33374268816857,26.02,8.95,65393,3279900,455195,607315,3723184,33160846,3479606,28426292
-179.85,1718,-28.803651505445227,149.5213228894691,29.92,444.55,2867,363675,35685,22800,31530,23218.55,4.9,71207,71.53284671532846,96.00512336524201,25.56,11.75,145377,4326920,1142440,1409289,3723184,33160846,3479606,28426292
-182.95,623,-31.532230265425714,146.93396226415095,29.01,397.25,1047,130715,29510,22850,11899,23218.55,7,45616,80.92485549132948,152.8840030834199,25.03,15.65,75453,3619655,628095,794581,3723184,33160846,3479606,28426292
-177.4,4557,-33.37409462891544,536.1176470588235,27.76,354.15,5407,209235,60320,22900,85749,23218.55,9.5,63636,82.96943231441048,78.14138536537446,24.67,20.95,145073,3927235,1286285,1497820,3723184,33160846,3479606,28426292
-174.6,3968,-36.029715229054894,757.2519083969465,26.92,310,4492,152100,40170,22950,54663,23218.55,12.75,46264,83.88157894736842,186.30048725486247,24.4,27.95,71097,3685240,824590,1081403,3723184,33160846,3479606,28426292
-167.25,15303,-38.28983516483517,134.97089433762568,26.63,269.55,26641,3501290,267800,23000,638056,23218.55,16.9,151948,85.13853904282117,106.82658642556841,24.08,36.75,294186,4825405,3172390,3266269,3723184,33160846,3479606,28426292
-160.5,13158,-40.98569969356486,1682.608695652174,25.88,231.1,13940,2187770,122850,23050,355396,23218.55,22.4,74680,88.18897637795276,141.7831105710814,23.77,47.8,127352,3723135,988195,1510747,3723184,33160846,3479606,28426292
