CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
-239.2,-3,-10.529559360831096,-100,0,2032.5,0,5135,4225,21100,4,23191,-0.4,-48838,-80,-61.127730145816386,55.9,0.1,31057,5689255,2827890,143160,5780929,113220893,4525668,111595055
-1027.1,1,-34.187095378368035,0,0,1977.25,1,3965,4290,21150,2,23191,-0.35,-221,-70,-10.385338345864662,56.36,0.15,1907,1184690,177450,4590,5780929,113220893,4525668,111595055
-972.45,1,-32.90862944162436,0,0,1982.55,1,4940,4745,21200,2,23191,-0.4,-4862,-80,-39.23499031633312,53.31,0.1,7530,2941510,494650,25153,5780929,113220893,4525668,111595055
-831.85,0,-28.62772089821905,0,152.36,2073.9,0,3835,4290,21250,2,23191,-0.35,572,-70,44.37548487199379,53.7,0.15,1861,446095,79235,2827,5780929,113220893,4525668,111595055
0,0,0,0,163.68,0,1,4615,5070,21300,0,23191,-0.35,-4129,-70,-62.305719028217894,50.73,0.15,2498,922025,108095,14457,5780929,113220893,4525668,111595055
0,0,0,0,43.89,0,1,4745,5070,21350,0,23191,-0.4,30,-72.72727272727273,3.2822757111597376,51.05,0.15,944,350090,59150,2426,5780929,113220893,4525668,111595055
0,0,0,0,103.63,0,1,3965,4290,21400,0,23191,-0.45,-2188,-81.81818181818181,-41.74775806143866,48.16,0.1,3053,784485,192140,17941,5780929,113220893,4525668,111595055
0,0,0,0,0,0,0,4940,4940,21450,0,23191,-0.4,108,-72.72727272727273,9.113924050632912,48.41,0.15,1293,879385,126165,5580,5780929,113220893,4525668,111595055
66.7,-9,4.08213225618899,-25,0,1700.65,27,5265,5070,21500,13,23191,-0.45,-19858,-81.81818181818181,-36.79724270837194,47.08,0.1,34108,16034785,3820375,137439,5780929,113220893,4525668,111595055
0,0,0,0,112.26,0,1,3965,3965,21550,0,23191,-0.4,557,-72.72727272727273,24.799643811219948,45.76,0.15,2803,824525,176085,11071,5780929,113220893,4525668,111595055
0,0,0,0,0,0,0,5070,5070,21600,0,23191,-0.45,-2350,-75,-34.991066110780224,44.44,0.15,4366,1711580,419575,17515,5780929,113220893,4525668,111595055
0,0,0,0,0,0,0,4940,4940,21650,0,23191,-0.45,142,-75,3.940066592674806,43.12,0.15,3746,1741220,199355,17016,5780929,113220893,4525668,111595055
