CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
0,0,0,0,129.07,0,3,4745,5070,21100,0,23170.05,-0.2,-17589,-26.666666666666668,-17.09628506444276,64.13,0.55,85293,7417735,2488850,118562,3776331,55469707,3039930,51560578
0,0,0,0,0,0,0,3380,5070,21150,0,23170.05,-0.2,417,-26.666666666666668,19.49509116409537,62.66,0.55,2556,1872260,690300,7945,3776331,55469707,3039930,51560578
0,0,0,0,0,0,0,5070,5070,21200,0,23170.05,-0.3,-3299,-37.5,-18.71348346474559,60.64,0.5,14330,3414320,1556750,32408,3776331,55469707,3039930,51560578
0,0,0,0,0,0,0,4290,4290,21250,0,23170.05,-0.25,71,-33.333333333333336,4.246411483253588,59.73,0.5,1743,1779830,390715,5590,3776331,55469707,3039930,51560578
15.2,1,0.7662062707934267,100,146,1999,2,3835,4355,21300,4,23170.05,-0.25,-302,-29.41176470588235,-4.122866894197952,58.27,0.6,7023,2566265,624390,10406,3776331,55469707,3039930,51560578
0,0,0,0,43.89,0,1,3835,4290,21350,0,23170.05,-0.3,878,-33.333333333333336,99.88623435722411,57.3,0.6,1757,2537015,395265,8636,3776331,55469707,3039930,51560578
-168.2,-1,-8.678154989165204,-50,0,1770,1,4875,5070,21400,2,23170.05,-0.25,-1028,-27.77777777777778,-14.870533776941993,56.27,0.65,5885,2983565,636675,14999,3776331,55469707,3039930,51560578
0,0,0,0,0,0,0,5070,5070,21450,0,23170.05,-0.3,309,-33.333333333333336,25.10154346060114,54.35,0.6,1540,2611115,441350,7662,3776331,55469707,3039930,51560578
-234.15,6,-12.156374114165564,20,72.1,1692,36,5200,5525,21500,22,23170.05,-0.35,-16432,-36.8421052631579,-21.19437637043725,52.42,0.6,61098,6650670,4087655,161874,3776331,55469707,3039930,51560578
-638.1,1,-27.8646288209607,100,81.71,1651.9,2,3965,3965,21550,2,23170.05,-0.25,1534,-26.31578947368421,100.19595035924233,52.59,0.7,3065,2713100,504335,14129,3776331,55469707,3039930,51560578
0,0,0,0,0,0,0,5070,5070,21600,0,23170.05,-0.25,3607,-25,50.61745719898961,51.44,0.75,10733,3351270,888485,52942,3776331,55469707,3039930,51560578
0,0,0,0,0,0,0,5070,5070,21650,0,23170.05,-0.25,4037,-23.80952380952381,225.53072625698323,50.26,0.8,5827,2833935,696930,23196,3776331,55469707,3039930,51560578
0,0,0,0,0,0,0,6825,6825,21700,0,23170.05,-0.15,1921,-15.789473684210526,17.970065481758652,48.42,0.8,12611,3282240,1236625,53675,3776331,55469707,3039930,51560578
0,0,0,0,0,0,1,6500,6695,21750,0,23170.05,-0.15,1882,-14.285714285714286,84.05538186690487,47.22,0.9,4121,2991040,647465,21705,3776331,55469707,3039930,51560578
0,0,0,0,0,0,0,6825,6825,21800,0,23170.05,-0.2,875,-18.181818181818183,4.0522391515769,46.26,0.9,22468,3750305,1708980,122572,3776331,55469707,3039930,51560578
