CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
-239.2,-3,-10.529559360831096,-100,0,2032.5,0,4810,4225,21100,4,23150.35,-0.3,-45079,-60,-56.422804931472555,56.73,0.2,34816,10501595,2483260,128818,6353443,43371699,3744735,49872811
0,0,0,0,0,0,0,5070,5070,21150,0,23150.35,-0.25,-249,-50,-11.701127819548873,57.8,0.25,1879,2544035,139620,2953,6353443,43371699,3744735,49872811
0,0,0,0,0,0,0,5070,4940,21200,0,23150.35,-0.3,-4757,-60,-38.38766946417043,56.42,0.2,7635,6183710,418210,18033,6353443,43371699,3744735,49872811
-831.85,1,-28.62772089821905,0,165.19,2073.9,1,4745,5070,21250,2,23150.35,-0.3,308,-60,23.894491854150505,55.05,0.2,1597,2140450,112775,1731,6353443,43371699,3744735,49872811
0,0,0,0,163.68,0,1,5525,5070,21300,0,23150.35,-0.25,-3485,-50,-52.5878979930587,53.67,0.25,3142,3635515,254215,9839,6353443,43371699,3744735,49872811
0,0,0,0,43.89,0,1,4745,5070,21350,0,23150.35,-0.3,16,-54.54545454545455,1.75054704595186,52.29,0.25,930,1265745,56225,913,6353443,43371699,3744735,49872811
0,0,0,0,103.63,0,1,5525,5070,21400,0,23150.35,-0.35,-1355,-63.63636363636363,-25.8538446861286,51.75,0.2,3886,3899350,454025,10597,6353443,43371699,3744735,49872811
0,0,0,0,0,0,0,5070,5070,21450,0,23150.35,-0.25,-72,-45.45454545454545,-6.075949367088608,50.35,0.3,1113,2028260,94640,2389,6353443,43371699,3744735,49872811
48.7,-7,2.980507359466324,-19.444444444444443,84.91,1682.65,29,5200,5200,21500,11,23150.35,-0.3,-16318,-54.54545454545455,-30.237556980320942,48.17,0.25,37648,18737810,4971395,89905,6353443,43371699,3744735,49872811
0,0,0,0,112.26,0,1,5525,5525,21550,0,23150.35,-0.35,447,-63.63636363636363,19.90204808548531,46.79,0.2,2693,2754570,220545,7122,6353443,43371699,3744735,49872811
0,0,0,0,0,0,0,5070,5070,21600,0,23150.35,-0.3,-1922,-50,-28.618225134008338,46.17,0.3,4794,4244435,124930,11315,6353443,43371699,3744735,49872811
0,0,0,0,0,0,0,5070,5070,21650,0,23150.35,-0.3,59,-50,1.637069922308546,44.04,0.3,3663,2469480,162760,7746,6353443,43371699,3744735,49872811
0,0,0,0,0,0,0,6825,6825,21700,0,23150.35,-0.35,-1659,-58.333333333333336,-17.393583560494864,42.67,0.25,7879,6416020,706225,39384,6353443,43371699,3744735,49872811
0,0,0,0,0,0,1,7280,6825,21750,0,23150.35,-0.35,1387,-53.84615384615385,74.1711229946524,41.98,0.3,3257,3019120,329875,15163,6353443,43371699,3744735,49872811
