CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
-91.7,0,-4.036624554298543,0,137.09,2180,3,4680,4680,21100,3,23200.75,-0.3,-38549,-60,-48.249577570561364,60.4,0.2,41346,14846715,1806545,112564,4891732,17929056,3865024,17586962
0,0,0,0,0,0,0,5070,5070,21150,0,23200.75,-0.2,-132,-40,-6.203007518796992,59.02,0.3,1996,2932020,149825,2352,4891732,17929056,3865024,17586962
0,0,0,0,0,0,0,4290,4290,21200,0,23200.75,-0.25,-4076,-50,-32.8921885087153,57.64,0.25,8316,6913595,445380,14689,4891732,17929056,3865024,17586962
-831.85,1,-28.62772089821905,0,149.15,2073.9,1,3835,4160,21250,2,23200.75,-0.25,119,-50,9.231962761830877,56.27,0.25,1408,1772420,80535,731,4891732,17929056,3865024,17586962
0,0,0,0,163.68,0,1,4940,4940,21300,0,23200.75,-0.2,-3024,-40,-45.631507469443186,54.89,0.3,3603,3963570,168220,8427,4891732,17929056,3865024,17586962
0,0,0,0,43.89,0,1,3965,4290,21350,0,23200.75,-0.3,6,-54.54545454545455,0.6564551422319475,54.38,0.25,920,1486615,49595,808,4891732,17929056,3865024,17586962
0,0,0,0,103.63,0,1,3965,4290,21400,0,23200.75,-0.3,-1244,-54.54545454545455,-23.735928257966037,52.99,0.25,3997,4080765,268580,7719,4891732,17929056,3865024,17586962
0,0,0,0,0,0,0,5070,4940,21450,0,23200.75,-0.25,1,-45.45454545454545,0.08438818565400844,51.6,0.3,1186,2256995,132340,1641,4891732,17929056,3865024,17586962
101.05,0,6.184399767434744,0,89.78,1735,36,4745,5850,21500,2,23200.75,-0.3,-7525,-54.54545454545455,-13.94396471852648,50.21,0.25,46441,14930435,5370040,73291,4891732,17929056,3865024,17586962
0,0,0,0,112.26,0,1,5070,5525,21550,0,23200.75,-0.3,804,-54.54545454545455,35.796972395369544,48.82,0.25,3050,2739750,305370,4301,4891732,17929056,3865024,17586962
0,0,0,0,0,0,0,4940,4940,21600,0,23200.75,-0.3,-1596,-50,-23.764145324597976,47.43,0.3,5120,5110495,214695,9283,4891732,17929056,3865024,17586962
0,0,0,0,0,0,0,5070,5070,21650,0,23200.75,-0.2,436,-33.333333333333336,12.097669256381797,47.29,0.4,4040,3130660,178100,4035,4891732,17929056,3865024,17586962
0,0,0,0,0,0,0,5070,5070,21700,0,23200.75,-0.2,-1255,-33.333333333333336,-13.157894736842104,45.29,0.4,8283,6556160,265785,13141,4891732,17929056,3865024,17586962
0,0,0,0,0,0,1,6370,6695,21750,0,23200.75,-0.3,2733,-46.15384615384615,146.14973262032086,44.44,0.35,4603,4247425,257465,9441,4891732,17929056,3865024,17586962
0,0,0,0,0,0,0,6695,6695,21800,0,23200.75,-0.35,-2699,-50,-12.134154565481275,42.47,0.35,19544,10149880,2758925,36909,4891732,17929056,3865024,17586962
0,0,0,0,0,0,0,6695,6825,21850,0,23200.75,-0.3,218,-40,7.7414772727272725,41.59,0.45,3034,5062785,234910,6035,4891732,17929056,3865024,17586962
0,0,0,0,0,0,0,6695,6695,21900,0,23200.75,-0.35,-2881,-50,-18.788313551584714,40.17,0.35,12453,7599150,635375,26036,4891732,17929056,3865024,17586962
0,0,0,0,56.97,0,2,6240,7150,21950,0,23200.75,-0.4,3161,-47.05882352941177,88.99211711711712,38.74,0.45,6713,5728450,544765,16790,4891732,17929056,3865024,17586962
92.6,-79,8.238800658392277,-22.443181818181817,53.98,1216.55,273,9100,12415,22000,143,23200.75,-0.4,-6639,-47.05882352941177,-6.483651705144732,37.76,0.45,95757,51517440,8908575,233255,4891732,17929056,3865024,17586962
0,0,0,0,76.79,0,5,6175,6305,22050,0,23200.75,-0.45,1173,-50,28.401937046004843,36.71,0.45,5303,13857285,929175,13567,4891732,17929056,3865024,17586962
89.5,2,8.758624064197289,25,0,1111.35,10,6695,6955,22100,5,23200.75,-0.45,11108,-50,44.750624446055916,35.25,0.45,35930,27553370,6261255,103844,4891732,17929056,3865024,17586962
106.7,0,11.07650783764144,0,48.7,1070,2,6825,7020,22150,2,23200.75,-0.5,1517,-50,17.8093449166471,33.79,0.5,10035,18168800,2165475,31324,4891732,17929056,3865024,17586962
0,0,0,0,0,0,14,6240,6435,22200,0,23200.75,-0.6,14096,-54.54545454545455,36.16213442791175,31.97,0.5,53076,32851260,8681920,139206,4891732,17929056,3865024,17586962
100.75,1,11.457977936995338,10,53.1,980.05,11,6175,7215,22250,2,23200.75,-0.7,8066,-60.869565217391305,61.567819250438895,30.86,0.45,21167,20823270,4486170,50101,4891732,17929056,3865024,17586962
93.55,0,11.374551644476869,0,37.62,916,57,8710,8905,22300,21,23200.75,-0.8,2969,-59.25925925925926,5.843337925605196,29.7,0.55,53779,37247145,9503390,149385,4891732,17929056,3865024,17586962
0,0,0,0,0,0,20,6240,6370,22350,0,23200.75,-1.1,3064,-64.70588235294117,9.838802902832189,28.49,0.6,34206,25768665,3050190,68765,4891732,17929056,3865024,17586962
117.25,-292,15.900461079468403,-67.5925925925926,58.47,854.65,140,11960,10855,22400,403,23200.75,-1.35,9861,-69.23076923076923,12.787229628092744,27.23,0.6,86977,46123610,9008675,176477,4891732,17929056,3865024,17586962
0,0,0,0,0,0,42,6045,7150,22450,0,23200.75,-1.65,2014,-73.33333333333333,8.338163451188208,25.48,0.6,26168,30930640,3215485,84411,4891732,17929056,3865024,17586962
76.6,54,12.13369238080152,5.294117647058823,33.03,707.9,1074,43940,20735,22500,886,23200.75,-2,73517,-74.07407407407408,47.20677565592613,24.61,0.7,229251,76541010,11068395,575917,4891732,17929056,3865024,17586962
98.85,5,16.933618843683085,3.7037037037037037,40.94,682.6,140,1268865,15795,22550,37,23200.75,-2.45,16529,-77.77777777777777,54.88444680568469,23.06,0.7,46645,44808400,3612700,126200,4891732,17929056,3865024,17586962
