CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
0,0,0,0,129.07,0,3,4745,5070,21100,0,23198.75,-0.1,109,-13.333333333333334,0.10594661845609533,65.26,0.65,102991,8763560,2598570,52596,3795019,28098896,3297479,23861992
0,0,0,0,0,0,0,3380,5070,21150,0,23198.75,0,282,0,13.183730715287517,64.25,0.75,2421,2030665,268320,4561,3795019,28098896,3297479,23861992
0,0,0,0,0,0,0,4940,4940,21200,0,23198.75,-0.1,-348,-12.5,-1.9740200805490953,63.19,0.7,17281,4033120,957840,17494,3795019,28098896,3297479,23861992
0,0,0,0,0,0,0,4290,4290,21250,0,23198.75,0,46,0,2.751196172248804,62.1,0.75,1718,1952730,172120,3066,3795019,28098896,3297479,23861992
-172.9,0,-8.715596330275229,0,0,1810.9,1,4745,5070,21300,1,23198.75,-0.1,-376,-11.764705882352942,-5.1331058020477816,60.59,0.75,6949,2896920,439985,5354,3795019,28098896,3297479,23861992
0,0,0,0,43.89,0,1,4745,4940,21350,0,23198.75,-0.05,873,-5.555555555555555,99.31740614334471,59.08,0.85,1752,2748720,215215,6057,3795019,28098896,3297479,23861992
-168.2,-1,-8.678154989165204,-50,0,1770,1,4810,5070,21400,2,23198.75,-0.1,-1016,-11.11111111111111,-14.696947779545784,57.57,0.8,5897,3447990,376415,10130,3795019,28098896,3297479,23861992
0,0,0,0,0,0,0,5070,5070,21450,0,23198.75,0,407,0,33.0625507717303,56.42,0.9,1638,2853565,249275,5227,3795019,28098896,3297479,23861992
-222.2,9,-11.535965527087713,30,84.29,1703.95,39,5135,5070,21500,17,23198.75,-0.1,-11092,-10.526315789473685,-14.306719979362827,55.24,0.85,66438,8028020,2313285,87036,3795019,28098896,3297479,23861992
-638.1,1,-27.8646288209607,100,78.54,1651.9,2,4615,4615,21550,2,23198.75,0,696,0,45.46048334421946,53.71,0.95,2227,2866500,241150,7760,3795019,28098896,3297479,23861992
0,0,0,0,0,0,0,5070,5070,21600,0,23198.75,0,3447,0,48.37215829357283,52.79,1,10573,3750565,620880,31711,3795019,28098896,3297479,23861992
0,0,0,0,0,0,0,5070,5070,21650,0,23198.75,0.05,3196,4.761904761904762,178.54748603351956,51.8,1.1,4986,3052075,303615,12996,3795019,28098896,3297479,23861992
0,0,0,0,0,0,0,5070,5070,21700,0,23198.75,0.1,485,10.526315789473685,4.536950420954163,49.98,1.05,11175,3812445,766350,28889,3795019,28098896,3297479,23861992
0,0,0,0,0,0,1,6500,6825,21750,0,23198.75,0.1,2038,9.523809523809524,91.02277802590442,48.69,1.15,4277,3330210,337155,13420,3795019,28098896,3297479,23861992
0,0,0,0,0,0,0,6825,6825,21800,0,23198.75,0,-594,0,-2.7508914926133468,47.13,1.1,20999,4848935,1141920,83427,3795019,28098896,3297479,23861992
0,0,0,0,0,0,0,6825,6825,21850,0,23198.75,0.1,668,8.695652173913043,22.476446837146703,46.25,1.25,3640,2844335,326950,11426,3795019,28098896,3297479,23861992
0,0,0,0,0,0,0,6825,6825,21900,0,23198.75,0.05,2383,4.3478260869565215,10.873334550100383,44.46,1.2,24299,4926610,1126840,48694,3795019,28098896,3297479,23861992
0,0,0,0,56.97,0,2,6500,6500,21950,0,23198.75,0.15,3518,13.043478260869565,102.41630276564774,43.1,1.3,6953,3219060,438100,20217,3795019,28098896,3297479,23861992
-219.95,-43,-15.403200392170595,-10.96938775510204,58.11,1208,349,7605,10725,22000,133,23198.75,0.05,25244,4,24.301350609844146,41.9,1.3,129123,13439595,3581370,243960,3795019,28098896,3297479,23861992
-204.9,0,-14.90507019713392,0,69.63,1169.8,2,6565,6435,22050,1,23198.75,0.1,1707,8,49.34952298352125,40.48,1.35,5166,3956485,404300,23903,3795019,28098896,3297479,23861992
-195.55,2,-14.907566228320945,25,65.25,1116.2,10,6955,6695,22100,13,23198.75,0.15,3856,11.538461538461538,16.39316384661168,39.05,1.45,27378,5458050,1463150,96432,3795019,28098896,3297479,23861992
-119.35,0,-10.032784129119031,0,65.08,1070.25,1,6955,6630,22150,1,23198.75,0.2,8760,14.814814814814815,203.3426183844011,37.75,1.55,13068,3750305,936975,51056,3795019,28098896,3297479,23861992
-218.35,10,-17.87336798592068,125,60.96,1003.3,18,7605,7150,22200,34,23198.75,0.25,16835,18.51851851851852,44.86103338929304,36.42,1.6,54362,6917040,2266225,214413,3795019,28098896,3297479,23861992
-242.35,2,-20.20846362309777,18.181818181818183,49.28,956.9,13,6955,7735,22250,9,23198.75,0.15,-486,9.67741935483871,-2.7663934426229506,35.04,1.7,17082,3994185,1187485,91808,3795019,28098896,3297479,23861992
-224,3,-19.844082211197733,4.6875,49.14,904.8,67,8710,8320,22300,36,23198.75,0.3,29005,19.35483870967742,69.28552659866708,33.64,1.85,70868,7973095,2390960,321156,3795019,28098896,3297479,23861992
-213.55,0,-19.974745112711627,0,47.4,855.55,19,6825,6370,22350,3,23198.75,0.35,9911,20,79.90164463076427,32.64,2.1,22315,4541680,1396590,122180,3795019,28098896,3297479,23861992
-216.4,4,-21.145202266953294,4.301075268817204,39.82,807,97,9815,8905,22400,198,23198.75,0.55,23089,29.72972972972973,61.50833821727316,31.61,2.4,60627,7550335,2485535,257870,3795019,28098896,3297479,23861992
-219.15,5,-22.905670237784165,15.625,0,737.6,37,7085,7085,22450,16,23198.75,0.75,15003,36.58536585365854,93.55824395111,30.55,2.8,31039,4208490,1408160,161284,3795019,28098896,3297479,23861992
-213.4,-385,-23.042867940827126,-15.253565768621236,32.18,712.7,2139,33865,29900,22500,4574,23198.75,1.1,40052,47.82608695652174,25.50969065073532,29.57,3.4,197059,11827075,1543555,717584,3795019,28098896,3297479,23861992
-210.3,15,-24.205801104972377,17.647058823529413,36.99,658.5,100,16510,13000,22550,146,23198.75,1.45,25264,54.716981132075475,115.25547445255475,28.74,4.1,47184,3006120,522340,254540,3795019,28098896,3297479,23861992
-215.85,256,-26.06097192876547,60.23529411764706,35.69,612.4,681,26000,20085,22600,1657,23198.75,2.05,38290,69.49152542372882,86.37881248872044,27.89,5,82618,4827680,625105,491488,3795019,28098896,3297479,23861992
-217.15,151,-28.140996565800556,136.03603603603602,30.97,554.5,262,22685,15990,22650,813,23198.75,2.9,16006,82.85714285714286,47.57884723997503,27.1,6.4,49647,3180255,448110,341842,3795019,28098896,3297479,23861992
-212.35,385,-29.295716355107952,78.2520325203252,31.96,512.5,877,69745,25220,22700,4487,23198.75,3.95,47946,94.04761904761905,63.01967639752369,26.44,8.15,124027,4730765,923195,778565,3795019,28098896,3297479,23861992
