CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
0,0,0,0,129.07,0,3,4485,4940,21100,0,23166.1,-0.05,-1792,-6.666666666666667,-1.7418012869112187,66.01,0.7,101090,8105695,2357420,73412,3786193,47574635,3249577,42714517
0,0,0,0,0,0,0,3380,5070,21150,0,23166.1,-0.05,435,-6.666666666666667,20.336605890603085,64.52,0.7,2574,2058290,275275,5551,3786193,47574635,3249577,42714517
0,0,0,0,0,0,0,5070,5070,21200,0,23166.1,-0.05,-801,-6.25,-4.543649668160418,63.03,0.75,16828,4217005,928915,20970,3786193,47574635,3249577,42714517
0,0,0,0,0,0,0,4290,4290,21250,0,23166.1,-0.05,107,-6.666666666666667,6.399521531100478,62.37,0.7,1779,1935635,208130,4850,3786193,47574635,3249577,42714517
15.2,1,0.7662062707934267,100,141.18,1999,2,3575,4160,21300,4,23166.1,-0.15,-339,-17.647058823529413,-4.6279863481228665,60.86,0.7,6986,2798770,489710,7266,3786193,47574635,3249577,42714517
0,0,0,0,43.89,0,1,4745,5070,21350,0,23166.1,-0.15,820,-16.666666666666668,93.28782707622298,59.73,0.75,1699,2727530,280280,8137,3786193,47574635,3249577,42714517
-168.2,-1,-8.678154989165204,-50,0,1770,1,4810,5070,21400,2,23166.1,-0.1,-1066,-11.11111111111111,-15.420222768696659,58.21,0.8,5847,3449745,514410,12673,3786193,47574635,3249577,42714517
0,0,0,0,0,0,0,5070,5070,21450,0,23166.1,-0.05,391,-5.555555555555555,31.762794476035744,57.04,0.85,1622,2901080,292825,6615,3786193,47574635,3249577,42714517
-234.15,6,-12.156374114165564,20,126.38,1692,36,5265,6240,21500,22,23166.1,-0.15,-13651,-15.789473684210526,-17.607377789242875,55.18,0.8,63879,6906640,2463825,123638,3786193,47574635,3249577,42714517
-638.1,1,-27.8646288209607,100,63.99,1651.9,2,4745,4745,21550,2,23166.1,-0.05,1583,-5.2631578947368425,103.39647289353364,54.61,0.9,3114,2938650,331370,13045,3786193,47574635,3249577,42714517
0,0,0,0,0,0,0,5070,5070,21600,0,23166.1,-0.1,3153,-10,44.24642155486949,53.08,0.9,10279,3565250,872495,48022,3786193,47574635,3249577,42714517
0,0,0,0,0,0,0,5070,5070,21650,0,23166.1,-0.05,3409,-4.761904761904762,190.44692737430168,51.82,1,5199,2971540,428740,20280,3786193,47574635,3249577,42714517
0,0,0,0,0,0,0,6825,6825,21700,0,23166.1,0,1988,0,18.596819457436858,50,0.95,12678,3616665,1040975,45301,3786193,47574635,3249577,42714517
0,0,0,0,0,0,1,6500,6825,21750,0,23166.1,0,2339,0,104.46627958910227,48.98,1.05,4578,3196440,512070,18642,3786193,47574635,3249577,42714517
0,0,0,0,0,0,0,6695,6825,21800,0,23166.1,-0.1,1322,-9.090909090909092,6.122354466725327,47.9,1,22915,4493450,1571505,113368,3786193,47574635,3249577,42714517
0,0,0,0,0,0,0,6825,6825,21850,0,23166.1,-0.1,671,-8.695652173913043,22.577388963660834,46.1,1.05,3643,2709265,398905,20025,3786193,47574635,3249577,42714517
0,0,0,0,0,0,0,6825,6825,21900,0,23166.1,-0.05,2861,-4.3478260869565215,13.054389487132688,45.18,1.1,24777,4534660,1427335,68833,3786193,47574635,3249577,42714517
0,0,0,0,56.97,0,2,7280,6565,21950,0,23166.1,0,4579,0,133.3042212518195,43.99,1.15,8014,3093935,763100,35914,3786193,47574635,3249577,42714517
-265.45,-57,-18.5895864701145,-14.540816326530612,66.38,1162.5,335,8255,8775,22000,209,23166.1,0,29767,0,28.655454904263614,42.39,1.25,133646,12231895,3642665,389423,3786193,47574635,3249577,42714517
-214.6,1,-15.610678693533135,50,79.63,1160.1,3,6435,6435,22050,7,23166.1,0,4165,0,120.41052327262214,40.97,1.25,7624,4009720,715260,48549,3786193,47574635,3249577,42714517
-203.3,-1,-15.498380026681913,-12.5,71.22,1108.45,7,6825,7605,22100,18,23166.1,0,6053,0,25.73335600714225,39.36,1.3,29575,5030090,1750450,138523,3786193,47574635,3249577,42714517
