CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
-91.7,0,-4.036624554298543,0,145.71,2180,3,4680,4420,21100,3,23188.2,-0.3,-39341,-60,-49.240878653232365,58.8,0.2,40554,14353365,1823185,115700,5230205,24808779,3783727,26322988
0,0,0,0,0,0,0,4290,4160,21150,0,23188.2,-0.25,-273,-50,-12.828947368421053,58.54,0.25,1855,2864875,151515,2656,5230205,24808779,3783727,26322988
0,0,0,0,0,0,0,4940,4940,21200,0,23188.2,-0.25,-4306,-50,-34.74822466107166,57.16,0.25,8086,6713590,467870,16029,5230205,24808779,3783727,26322988
-831.85,1,-28.62772089821905,0,155.81,2073.9,1,4615,4940,21250,2,23188.2,-0.25,152,-50,11.792086889061288,55.79,0.25,1441,2217020,75985,944,5230205,24808779,3783727,26322988
0,0,0,0,163.68,0,1,4615,4940,21300,0,23188.2,-0.25,-3029,-50,-45.706956390523615,54.41,0.25,3598,3946215,195715,8528,5230205,24808779,3783727,26322988
0,0,0,0,43.89,0,1,4745,4940,21350,0,23188.2,-0.2,-20,-36.36363636363637,-2.1881838074398248,54.65,0.35,894,1280500,52650,840,5230205,24808779,3783727,26322988
0,0,0,0,103.63,0,1,4745,5070,21400,0,23188.2,-0.3,-1293,-54.54545454545455,-24.67086433886663,51.66,0.25,3948,3799055,382005,8158,5230205,24808779,3783727,26322988
0,0,0,0,0,0,0,5070,5070,21450,0,23188.2,-0.25,22,-45.45454545454545,1.8565400843881856,51.11,0.3,1207,2122575,98995,2012,5230205,24808779,3783727,26322988
69.95,-3,4.281036751430582,-8.333333333333334,71.99,1703.9,33,6045,6695,21500,8,23188.2,-0.25,-12811,-45.45454545454545,-23.73902086498907,49.72,0.3,41155,14733485,4535765,77965,5230205,24808779,3783727,26322988
0,0,0,0,112.26,0,1,5525,4745,21550,0,23188.2,-0.25,802,-45.45454545454545,35.707925200356186,48.32,0.3,3048,2675205,282815,4578,5230205,24808779,3783727,26322988
