CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
-239.2,-3,-10.529559360831096,-100,0,2032.5,0,4745,4225,21100,4,23153.05,-0.35,-45082,-70,-56.42655985981601,56.73,0.15,34813,10484175,2488460,128865,6401245,44390608,3855473,50990979
0,0,0,0,0,0,0,5070,5070,21150,0,23153.05,-0.25,-246,-50,-11.56015037593985,57.8,0.25,1882,2544165,138580,2954,6401245,44390608,3855473,50990979
0,0,0,0,0,0,0,5070,5070,21200,0,23153.05,-0.3,-4756,-60,-38.379599741768885,56.42,0.2,7636,6181045,399100,18429,6401245,44390608,3855473,50990979
-831.85,1,-28.62772089821905,0,165.19,2073.9,1,4745,5070,21250,2,23153.05,-0.3,308,-60,23.894491854150505,55.05,0.2,1597,2181530,106795,1749,6401245,44390608,3855473,50990979
0,0,0,0,163.68,0,1,4615,5070,21300,0,23153.05,-0.25,-3485,-50,-52.5878979930587,53.67,0.25,3142,3607370,252330,9841,6401245,44390608,3855473,50990979
0,0,0,0,43.89,0,1,3835,4290,21350,0,23153.05,-0.3,144,-54.54545454545455,15.75492341356674,52.29,0.25,1058,1473225,84955,1113,6401245,44390608,3855473,50990979
0,0,0,0,103.63,0,1,4745,5070,21400,0,23153.05,-0.3,-1355,-54.54545454545455,-25.8538446861286,51.75,0.25,3886,3899350,442715,10598,6401245,44390608,3855473,50990979
0,0,0,0,0,0,0,5070,5070,21450,0,23153.05,-0.3,-72,-54.54545454545455,-6.075949367088608,50.35,0.25,1113,1853800,107965,2487,6401245,44390608,3855473,50990979
48.7,-7,2.980507359466324,-19.444444444444443,84.91,1682.65,29,5005,5265,21500,11,23153.05,-0.3,-16326,-54.54545454545455,-30.25238112885891,48.17,0.25,37640,18676385,5014360,89998,6401245,44390608,3855473,50990979
0,0,0,0,112.26,0,1,3965,3965,21550,0,23153.05,-0.3,447,-54.54545454545455,19.90204808548531,46.79,0.25,2693,2740790,212030,7204,6401245,44390608,3855473,50990979
0,0,0,0,0,0,0,5070,5070,21600,0,23153.05,-0.35,-1949,-58.333333333333336,-29.020250148898153,46.17,0.25,4767,4296630,139425,11377,6401245,44390608,3855473,50990979
0,0,0,0,0,0,0,5070,5070,21650,0,23153.05,-0.3,53,-50,1.4705882352941178,44.04,0.3,3657,2469675,157235,7772,6401245,44390608,3855473,50990979
0,0,0,0,0,0,0,6825,6825,21700,0,23153.05,-0.3,-1601,-50,-16.785489620465505,42.67,0.3,7937,6390020,701805,39566,6401245,44390608,3855473,50990979
0,0,0,0,0,0,1,6370,6825,21750,0,23153.05,-0.4,1386,-61.53846153846154,74.11764705882354,41.98,0.25,3256,3015675,324480,15169,6401245,44390608,3855473,50990979
0,0,0,0,0,0,0,6825,6695,21800,0,23153.05,-0.35,-6010,-50,-27.01973654632918,40.59,0.35,16233,9691045,2876640,49971,6401245,44390608,3855473,50990979
0,0,0,0,0,0,0,6825,6695,21850,0,23153.05,-0.4,73,-53.333333333333336,2.5923295454545454,39.19,0.35,2889,4455490,255905,9641,6401245,44390608,3855473,50990979
0,0,0,0,0,0,0,6825,6825,21900,0,23153.05,-0.35,-3307,-50,-21.566453632450763,38.36,0.35,12027,6951880,687830,29316,6401245,44390608,3855473,50990979
0,0,0,0,56.97,0,2,6370,6435,21950,0,23153.05,-0.5,3704,-58.8235294117647,104.27927927927928,36.94,0.35,7256,5338385,370955,20737,6401245,44390608,3855473,50990979
35.1,-125,3.122914720405712,-35.51136363636363,58.39,1159.05,227,10855,9165,22000,214,23153.05,-0.45,715,-52.94117647058823,0.6982694636509239,35.53,0.4,103111,41707185,9579960,358592,6401245,44390608,3855473,50990979
0,0,0,0,76.79,0,5,6370,6500,22050,0,23153.05,-0.55,3580,-61.111111111111114,86.68280871670702,34.56,0.35,7710,13425490,1560585,31378,6401245,44390608,3855473,50990979
49.15,0,4.809903606204434,0,48.69,1071,8,6565,7085,22100,11,23153.05,-0.55,9943,-61.111111111111114,40.05720731609056,32.69,0.35,34765,22596080,5800340,138077,6401245,44390608,3855473,50990979
22.9,2,2.377244887366345,100,0,986.2,4,6630,6760,22150,12,23153.05,-0.65,8117,-65,95.29232214134774,32.07,0.35,16635,16808935,2317250,68290,6401245,44390608,3855473,50990979
0,0,0,0,0,0,14,5850,5785,22200,0,23153.05,-0.75,23523,-68.18181818181819,60.34633145202668,30.25,0.35,62503,25367875,11362585,187169,6401245,44390608,3855473,50990979
5.95,1,0.6766746275446378,10,0,885.25,11,6630,6695,22250,3,23153.05,-0.8,11937,-69.56521739130434,91.11518204717197,28.8,0.35,25038,19373705,5111340,97932,6401245,44390608,3855473,50990979
22.3,-1,2.7114110280260197,-1.7543859649122806,0,844.75,56,8385,8190,22300,47,23153.05,-0.9,13467,-66.66666666666667,26.50462507380437,28.01,0.45,64277,30092400,9620390,268132,6401245,44390608,3855473,50990979
0,0,0,0,0,0,20,6435,6565,22350,0,23153.05,-1.25,12002,-73.52941176470588,38.53959283283026,26.82,0.45,43144,23003630,4088760,123345,6401245,44390608,3855473,50990979
21.6,-268,2.9292107404393817,-62.03703703703704,0,759,164,16250,17290,22400,574,23153.05,-1.5,23613,-76.92307692307692,30.620104777218735,25.05,0.45,100729,36062195,11641760,346748,6401245,44390608,3855473,50990979
0,0,0,0,0,0,42,6435,6435,22450,0,23153.05,-1.7,12002,-75.55555555555556,49.689492423615135,23.82,0.55,36156,27611675,4629040,184544,6401245,44390608,3855473,50990979
29.3,73,4.6412165373039755,7.1568627450980395,0,660.6,1093,43550,29445,22500,2340,23153.05,-2.15,46927,-79.62962962962963,30.13279052743781,22.54,0.55,202661,68512795,10731370,939841,6401245,44390608,3855473,50990979
21.45,-9,3.674518201284797,-6.666666666666667,0,605.2,126,1268735,19370,22550,157,23153.05,-2.6,16288,-82.53968253968254,54.08420773011024,21.01,0.55,46404,38938185,5296850,356792,6401245,44390608,3855473,50990979
22.45,80,4.21082247022414,20.356234096692113,0,555.6,473,1799135,23140,22600,698,23153.05,-3.4,41520,-83.95061728395062,76.88034662815242,19.84,0.65,95526,58434610,8493160,595301,6401245,44390608,3855473,50990979
18.3,61,3.7681457840008235,23.193916349809886,0,503.95,324,1358240,18590,22650,621,23153.05,-4.55,37020,-86.66666666666667,94.20566455454615,18.43,0.7,76317,49500295,5334810,487980,6401245,44390608,3855473,50990979
21.65,94,4.962750716332378,12.097812097812097,0,457.9,871,2183740,23985,22700,2345,23153.05,-6.3,73354,-89.36170212765957,73.11637179167705,16.98,0.75,173679,84102785,7714590,1020244,6401245,44390608,3855473,50990979
18.1,184,4.667956157317859,46.93877551020408,0,405.85,576,2062775,22880,22750,1531,23153.05,-8.9,26737,-92.2279792746114,63.36983314372393,15.84,0.75,68929,54529800,6850350,649257,6401245,44390608,3855473,50990979
15.05,914,4.388394809739029,42.47211895910781,0,358,3066,6107465,63635,22800,15016,23153.05,-12.4,82618,-92.19330855018588,81.32013071380763,14.98,1.05,184214,92694550,6934135,1347746,6401245,44390608,3855473,50990979
11.4,409,3.824220060382422,50.122549019607845,0,309.5,1225,7937670,42900,22850,7664,23153.05,-17,45075,-92.3913043478261,99.47695974576271,13.75,1.4,90387,73297380,3755895,2057604,6401245,44390608,3855473,50990979
1.6,1594,0.624512099921936,25.094458438287155,0,257.8,7946,18823220,112840,22900,56893,23153.05,-23.45,81069,-91.78082191780823,82.20090648226073,13.02,2.1,179692,84113510,1582360,3055940,6401245,44390608,3855473,50990979
